stateabbr,year,diabetes_prevalence,diabetes_low_ci,diabetes_high_ci
AK,2023,13.9,12.1,15.9
AL,2023,12.7,10.9,14.6
AR,2023,12.2,10.5,14.1
AZ,2023,12.9,11.2,14.8
CA,2023,11.0,9.5,12.7
CO,2023,9.2,7.8,10.8
CT,2023,7.4,6.7,8.1
DC,2023,8.5,7.3,9.7
DE,2023,9.8,8.5,11.2
FL,2023,12.6,11.0,14.2
GA,2023,13.6,11.8,15.4
HI,2023,9.6,8.4,11.0
IA,2023,10.9,9.3,12.6
ID,2023,10.7,9.2,12.4
IL,2023,8.6,7.2,10.0
IN,2023,10.2,8.7,11.8
KS,2023,13.9,12.4,15.5
LA,2023,14.7,12.8,16.8
MA,2023,9.0,7.7,10.2
MD,2023,13.7,12.2,15.5
ME,2023,8.0,6.9,9.2
MI,2023,10.3,8.7,11.9
MN,2023,9.7,8.3,11.2
MO,2023,12.7,11.1,14.4
MS,2023,17.9,15.6,20.3
MT,2023,8.2,7.1,9.5
NC,2023,10.0,8.5,11.7
ND,2023,9.4,8.0,10.9
NE,2023,9.3,7.9,10.7
NH,2023,8.4,7.2,9.7
NJ,2023,8.0,6.8,9.3
NM,2023,12.4,10.7,14.2
NV,2023,9.9,8.4,11.4
NY,2023,8.9,7.6,10.4
OH,2023,10.2,8.8,11.9
OK,2023,10.7,9.3,12.3
OR,2023,9.7,8.4,11.3
RI,2023,7.1,6.0,8.3
SC,2023,10.3,8.9,11.7
SD,2023,18.1,15.9,20.5
TN,2023,9.8,8.3,11.5
TX,2023,21.4,19.8,23.1
UT,2023,8.9,7.8,10.2
VA,2023,12.9,11.1,14.9
VT,2023,6.9,5.9,8.1
WA,2023,12.1,10.7,13.7
WI,2023,9.7,8.4,11.1
WV,2023,14.3,12.3,16.5
WY,2023,9.7,8.3,11.3
