nct_id,official_title,overall_status,phase,lead_sponsor_class,is_industry
NCT00799643,Targeting Inflammation in Type 2 Diabetes: Clinical Trial Using Salsalate,COMPLETED,"PHASE2, PHASE3",OTHER,0
NCT01117350,"A 24-week, Multicenter, International, Randomized (1:1), Parallel-group, Open-label, Comparative Study of Insulin Glargine Versus Liraglutide in Insulin-naïve Patients With Type 2 Diabetes Treated With Oral Agents and Not Adequately Controlled, Followed by a 24-week Extension Period With Insulin Glargine for Patients Not Adequately Controlled With Liraglutide",COMPLETED,PHASE4,INDUSTRY,1
NCT04702490,A Phase 2A Study to Evaluate MET409 Alone or in Combination With Empagliflozin in Patients With Type 2 Diabetes Mellitus (T2DM) and Nonalcoholic Steatohepatitis (NASH),UNKNOWN,PHASE2,INDUSTRY,1
NCT01546558,"A Phase 1, Open-label, Single Cohort, Two-Period Fixed Sequence Study to Assess the Pharmacokinetics of Metformin Alone and in Combination With Ranolazine 500 mg Twice Daily in Subjects With Type 2 Diabetes Mellitus",COMPLETED,PHASE1,INDUSTRY,1
NCT06853990,"A Single-arm Trial With an Innovative Automated Insulin Delivery System for Type 2 Diabetes (""Twiist-T2D"")",ACTIVE_NOT_RECRUITING,NA,INDUSTRY,1
NCT02020616,"Safety, Tolerability, Pharmacokinetics, and Efficacy of LY3053102 With 12 Weeks of Treatment in Patients With Type 2 Diabetes Mellitus",TERMINATED,"PHASE1, PHASE2",INDUSTRY,1
NCT00642278,"A Randomized, Double-Blind, Placebo-Controlled, Double-Dummy, Parallel Group, Multicenter, Dose-Ranging Study in Subjects With Type 2 Diabetes Mellitus to Evaluate the Efficacy, Safety, and Tolerability of Orally Administered SGLT2 Inhibitor JNJ-28431754 With Sitagliptin as a Reference Arm",COMPLETED,PHASE2,INDUSTRY,1
NCT03826290,Evaluation of an EHR-Integrated Dashboard for Diabetes Care,COMPLETED,NA,OTHER,0
NCT04874415,Behavioral Economics for Activity Motivation in Adolescents and Young Adults With Prediabetes and Type 2 Diabetes,COMPLETED,NA,OTHER,0
NCT02444910,Effects of KDT501 on Metabolic Features in Insulin Resistant Subjects,COMPLETED,PHASE2,INDUSTRY,1
NCT00854113,"A Phase I , Placebo-Controlled, Dose-Escalation Study to Assess the Safety, Tolerability, and Pharmacokinetics of EGT0001474 In Healthy Volunteers",COMPLETED,PHASE1,INDUSTRY,1
NCT00676338,"Safety and Efficacy of Exenatide Once Weekly Injection Versus Metformin, Dipeptidyl Peptidase-4 Inhibitor, or Thiazolidinedione as Monotherapy in Drug-Naive Patients With Type 2 Diabetes",COMPLETED,PHASE3,INDUSTRY,1
NCT02355717,Role of Cardiometabolic Risk Factors in Childhood Bone Development (Healthy Heart 'N' Bones Study),UNKNOWN,,OTHER,0
NCT01458210,Effect of Dulaglutide (LY2189265) on Oral Contraceptive Pharmacokinetics in Healthy Female Subjects,COMPLETED,PHASE1,INDUSTRY,1
