status_group,trial_count,population,trials_per_100k
COMPLETED,16210,330519664,4.904398063287394
TERMINATED,1889,329784843,0.5727977013182501
RECRUITING,868,329718956,0.26325450332919287
ACTIVE_NOT_RECRUITING,826,328791208,0.2512232626366335
UNKNOWN,194,314225536,0.06173909430454436
WITHDRAWN,188,318864575,0.05895919921490181
NOT_YET_RECRUITING,122,311724016,0.039137183450119545
ENROLLING_BY_INVITATION,49,235721911,0.02078720632805323
SUSPENDED,50,278517393,0.017952200206038837
NO_LONGER_AVAILABLE,10,91785472,0.010894970393571653
