stateabbr,diabetes_prev_ci,trial_count,site_count,trials_per_100k,expected_trials_per_100k,coverage_residual,industry_pct,coverage_flag
NY,"8.90 (7.60, 10.40)",790,1692,3.951110459594669,10.38028970217102,-6.4291792425763505,77.72151898734177,Top 10 under-covered
WY,"9.70 (8.30, 11.30)",1,1,0.17303163537389543,6.284429797643944,-6.111398162270048,0.0,Top 10 under-covered
AK,"13.90 (12.10, 15.90)",8,9,1.0887005134583796,6.962171610783969,-5.87347109732559,87.5,Top 10 under-covered
IL,"8.60 (7.20, 10.00)",636,1167,4.985250399878222,10.38028970217102,-5.395039302292798,85.84905660377359,Top 10 under-covered
MI,"10.30 (8.70, 11.90)",472,895,4.6928187246648685,9.835423080315556,-5.142604355650687,86.01694915254237,Top 10 under-covered
MA,"9.00 (7.70, 10.20)",500,674,7.159010939684617,11.210649774421526,-4.0516388347369094,65.4,Top 10 under-covered
CO,"9.20 (7.80, 10.80)",457,684,7.919193039427877,11.210649774421526,-3.291456734993649,80.74398249452955,Top 10 under-covered
NH,"8.40 (7.20, 9.70)",98,103,7.103456774015846,10.38028970217102,-3.276832928155174,96.93877551020408,Top 10 under-covered
NJ,"8.00 (6.80, 9.30)",437,716,4.7248029340918105,7.997941357871577,-3.2731384237797663,94.05034324942791,Top 10 under-covered
CA,"11.00 (9.50, 12.70)",1346,6378,3.4200539768875498,6.399333579353706,-2.979279602466156,80.75780089153047,Top 10 under-covered
WI,"9.70 (8.40, 11.10)",221,285,3.757143673174062,6.284429797643944,-2.527286124469882,88.23529411764706,
FL,"12.60 (11.00, 14.20)",1055,5299,4.87646391562303,7.345202459436951,-2.468738543813921,90.42654028436019,
WV,"14.30 (12.30, 16.50)",69,78,3.848369769214938,6.315144068226351,-2.466774299011413,86.95652173913044,
TX,"21.40 (19.80, 23.10)",1195,5459,4.086400247960715,6.315144068226351,-2.2287438202656356,84.93723849372385,
OH,"10.20 (8.80, 11.90)",718,1772,6.097828705876838,7.927431616977785,-1.829602911100947,88.02228412256268,
ME,"8.00 (6.90, 9.20)",85,111,6.2182276002981824,7.997941357871577,-1.7797137575733943,94.11764705882354,
DE,"9.80 (8.50, 11.20)",63,69,6.340356368284129,7.927431616977785,-1.5870752486936555,95.23809523809524,
OK,"10.70 (9.30, 12.30)",332,487,8.361673614159637,9.835423080315556,-1.473749466155919,95.18072289156626,
IN,"10.20 (8.70, 11.80)",455,892,6.706559147503472,7.927431616977785,-1.2208724694743127,90.10989010989012,
VA,"12.90 (11.10, 14.90)",529,1066,6.133681086382753,7.345202459436951,-1.2115213730541985,90.17013232514178,
GA,"13.60 (11.80, 15.40)",686,1541,6.397866134443789,6.962171610783969,-0.5643054763401798,88.48396501457727,
NC,"10.00 (8.50, 11.70)",773,2077,7.382848144269066,7.927431616977785,-0.5445834727087187,86.80465717981889,
MS,"17.90 (15.60, 20.30)",183,247,6.1848436856801605,6.315144068226351,-0.13030038254619036,96.17486338797814,
MN,"9.70 (8.30, 11.20)",358,430,6.285893682009632,6.284429797643944,0.0014638843656875622,67.0391061452514,
AZ,"12.90 (11.20, 14.80)",527,1159,7.347731168406374,7.345202459436951,0.0025287089694225884,89.37381404174573,
CT,"7.40 (6.70, 8.10)",289,387,8.0026206505826,7.997941357871577,0.004679292711022853,83.39100346020761,
SC,"10.30 (8.90, 11.70)",517,1079,10.052987215011424,9.835423080315556,0.2175641346958681,95.55125725338492,
WA,"12.10 (10.70, 13.70)",524,881,6.815330174783304,6.399333579353706,0.4159965954295979,90.26717557251908,
UT,"8.90 (7.80, 10.20)",359,615,10.932426337829027,10.38028970217102,0.5521366356580071,94.70752089136491,
TN,"9.80 (8.30, 11.50)",598,1214,8.63691063195033,7.927431616977785,0.7094790149725458,88.96321070234114,
IA,"10.90 (9.30, 12.60)",230,302,7.212663178664566,6.399333579353706,0.81332959931086,94.78260869565217,
NM,"12.40 (10.70, 14.20)",173,199,8.189492549691995,7.345202459436951,0.8442900902550434,90.17341040462428,
MO,"12.70 (11.10, 14.40)",513,883,8.335470008393964,7.345202459436951,0.9902675489570125,87.5243664717349,
MD,"13.70 (12.20, 15.50)",518,778,8.406761308189436,6.962171610783969,1.4445896974054673,81.66023166023166,
SD,"18.10 (15.90, 20.50)",71,74,7.974463745392219,6.315144068226351,1.6593196771658683,90.14084507042253,
AR,"12.20 (10.50, 14.10)",246,394,8.149286987079405,6.399333579353706,1.749953407725699,90.2439024390244,
OR,"9.70 (8.40, 11.30)",340,465,8.039014757266678,6.284429797643944,1.7545849596227336,90.88235294117646,
AL,"12.70 (10.90, 14.60)",462,893,9.18837602812359,7.345202459436951,1.8431735686866393,91.12554112554112,
RI,"7.10 (6.00, 8.30)",113,142,10.326707790724239,7.997941357871577,2.328766432852662,93.80530973451327,
VT,"6.90 (5.90, 8.10)",69,75,10.717347813661046,7.997941357871577,2.7194064557894695,91.30434782608695,Top 10 over-covered
LA,"14.70 (12.80, 16.80)",440,721,9.481642892883725,6.315144068226351,3.166498824657374,90.22727272727273,Top 10 over-covered
NE,"9.30 (7.90, 10.70)",283,404,14.446595835807035,11.210649774421526,3.2359460613855084,92.57950530035336,Top 10 over-covered
ND,"9.40 (8.00, 10.90)",119,132,15.317799282766574,11.210649774421526,4.1071495083450476,99.15966386554622,Top 10 over-covered
NV,"9.90 (8.40, 11.40)",385,607,12.400086703982875,7.927431616977785,4.472655087005091,97.40259740259741,Top 10 over-covered
KS,"13.90 (12.40, 15.50)",351,475,11.955358487044274,6.962171610783969,4.993186876260305,94.58689458689459,Top 10 over-covered
MT,"8.20 (7.10, 9.50)",182,217,16.669109026963657,10.38028970217102,6.288819324792637,98.35164835164835,Top 10 over-covered
ID,"10.70 (9.20, 12.40)",301,376,16.234212767426293,9.835423080315556,6.398789687110737,99.66777408637874,Top 10 over-covered
HI,"9.60 (8.40, 11.00)",191,219,13.167065240395452,6.284429797643944,6.882635442751508,91.62303664921465,Top 10 over-covered
DC,"8.50 (7.30, 9.70)",125,136,18.640385214744693,10.38028970217102,8.260095512573674,70.4,Top 10 over-covered
KY,,362,581,8.039201098838868,,,93.37016574585635,
PA,,651,1576,5.011852916667436,,,81.25960061443932,
