stateabbr,sponsor_group,trial_count,population,trials_per_100k
AK,INDUSTRY,7,734821,0.9526129492760822
AK,NON_INDUSTRY,1,734821,0.13608756418229745
AL,INDUSTRY,421,5028092,8.372957376277125
AL,NON_INDUSTRY,41,5028092,0.8154186518464658
AR,INDUSTRY,222,3018669,7.354234598096048
AR,NON_INDUSTRY,24,3018669,0.7950523889833566
AZ,INDUSTRY,471,7172282,6.566947590738903
AZ,NON_INDUSTRY,56,7172282,0.7807835776674704
CA,INDUSTRY,1087,39356104,2.7619603810377167
CA,NON_INDUSTRY,259,39356104,0.6580935958498331
CO,INDUSTRY,369,5770790,6.394271841463647
CO,NON_INDUSTRY,88,5770790,1.52492119796423
CT,INDUSTRY,241,3611317,6.673465663634625
CT,NON_INDUSTRY,48,3611317,1.329154986947975
DC,INDUSTRY,88,670587,13.122831191180264
DC,NON_INDUSTRY,37,670587,5.517554023564429
DE,INDUSTRY,60,993635,6.0384346364610755
DE,NON_INDUSTRY,3,993635,0.30192173182305376
FL,INDUSTRY,954,21634529,4.409617607113147
FL,NON_INDUSTRY,101,21634529,0.4668463085098825
GA,INDUSTRY,607,10722325,5.661085632080729
GA,NON_INDUSTRY,79,10722325,0.7367805023630603
HI,INDUSTRY,175,1450589,12.064065010833529
HI,NON_INDUSTRY,16,1450589,1.1030002295619228
IA,INDUSTRY,218,3188836,6.836350317169024
IA,NON_INDUSTRY,12,3188836,0.3763128614955426
ID,INDUSTRY,300,1854109,16.180278505740493
ID,NON_INDUSTRY,1,1854109,0.05393426168580164
IL,INDUSTRY,546,12757634,4.279790437631304
IL,NON_INDUSTRY,90,12757634,0.7054599622469182
IN,INDUSTRY,410,6784403,6.043273077970161
IN,NON_INDUSTRY,45,6784403,0.6632860695333104
KS,INDUSTRY,332,2935922,11.308202329625923
KS,NON_INDUSTRY,19,2935922,0.647156157418351
KY,INDUSTRY,338,4502935,7.506215390628556
KY,NON_INDUSTRY,24,4502935,0.5329857082103117
LA,INDUSTRY,397,4640546,8.555027791988271
LA,NON_INDUSTRY,43,4640546,0.9266151008954551
MA,INDUSTRY,327,6984205,4.68199315455374
MA,NON_INDUSTRY,173,6984205,2.4770177851308772
MD,INDUSTRY,423,6161707,6.864980759390215
MD,NON_INDUSTRY,95,6161707,1.5417805487992209
ME,INDUSTRY,80,1366949,5.852449506162995
ME,NON_INDUSTRY,5,1366949,0.3657780941351872
MI,INDUSTRY,406,10057921,4.036619496215967
MI,NON_INDUSTRY,66,10057921,0.6561992284489011
MN,INDUSTRY,240,5695292,4.214006937660089
MN,NON_INDUSTRY,118,5695292,2.0718867443495435
MO,INDUSTRY,449,6154422,7.295567317288285
MO,NON_INDUSTRY,64,6154422,1.0399026911056797
MS,INDUSTRY,176,2958846,5.9482649654628865
MS,NON_INDUSTRY,7,2958846,0.23657872021727389
MT,INDUSTRY,179,1091840,16.394343493552167
MT,NON_INDUSTRY,3,1091840,0.27476553341148885
NC,INDUSTRY,671,10470214,6.408656021739383
NC,NON_INDUSTRY,102,10470214,0.9741921225296828
ND,INDUSTRY,118,776874,15.189078280390385
ND,NON_INDUSTRY,1,776874,0.1287210023761897
NE,INDUSTRY,262,1958939,13.374586957531601
NE,NON_INDUSTRY,21,1958939,1.0720088782754338
NH,INDUSTRY,95,1379610,6.886004015627606
NH,NON_INDUSTRY,3,1379610,0.21745275838824016
NJ,INDUSTRY,411,9249063,4.443693377372389
NJ,NON_INDUSTRY,26,9249063,0.2811095567194212
NM,INDUSTRY,156,2112463,7.384744726889891
NM,NON_INDUSTRY,17,2112463,0.8047478228021036
NV,INDUSTRY,375,3104817,12.07800652985345
NV,NON_INDUSTRY,10,3104817,0.32208017412942536
NY,INDUSTRY,614,19994379,3.0708630660647174
NY,NON_INDUSTRY,176,19994379,0.8802473935299515
OH,INDUSTRY,632,11774683,5.367448108794097
OH,NON_INDUSTRY,86,11774683,0.730380597082741
OK,INDUSTRY,316,3970497,7.958701391790498
OK,NON_INDUSTRY,16,3970497,0.40297222236913915
OR,INDUSTRY,309,4229374,7.306045764692364
OR,NON_INDUSTRY,31,4229374,0.7329689925743148
PA,INDUSTRY,529,12989208,4.072611663467088
PA,NON_INDUSTRY,122,12989208,0.9392412532003491
RI,INDUSTRY,106,1094250,9.687000228466985
RI,NON_INDUSTRY,7,1094250,0.6397075622572538
SC,INDUSTRY,494,5142750,9.60575567546546
SC,NON_INDUSTRY,23,5142750,0.44723153954596273
SD,INDUSTRY,64,890342,7.188249009931015
SD,NON_INDUSTRY,7,890342,0.7862147354612048
TN,INDUSTRY,532,6923772,7.683673003674876
TN,NON_INDUSTRY,66,6923772,0.9532376282754546
TX,INDUSTRY,1015,29243342,3.470875524418515
TX,NON_INDUSTRY,180,29243342,0.6155247235421998
UT,INDUSTRY,340,3283809,10.353829957832504
UT,NON_INDUSTRY,19,3283809,0.5785963799965224
VA,INDUSTRY,477,8624511,5.530748351993522
VA,NON_INDUSTRY,52,8624511,0.6029327343892309
VT,INDUSTRY,63,643816,9.785404525516608
VT,NON_INDUSTRY,6,643816,0.9319432881444388
WA,INDUSTRY,473,7688549,6.152006054718517
WA,NON_INDUSTRY,51,7688549,0.6633241200647872
WI,INDUSTRY,195,5882128,3.315126770447702
WI,NON_INDUSTRY,26,5882128,0.44201690272636024
WV,INDUSTRY,60,1792967,3.346408494969511
WV,NON_INDUSTRY,9,1792967,0.5019612742454267
WY,NON_INDUSTRY,1,577929,0.17303163537389543
