stateabbr,status_group,trial_count,population,trials_per_100k
AK,COMPLETED,8,734821,1.0887005134583796
AL,ACTIVE_NOT_RECRUITING,22,5028092,0.4375417156249329
AL,COMPLETED,365,5028092,7.2592148274136585
AL,ENROLLING_BY_INVITATION,2,5028092,0.03977651960226662
AL,NOT_YET_RECRUITING,3,5028092,0.05966477940339993
AL,NO_LONGER_AVAILABLE,1,5028092,0.01988825980113331
AL,RECRUITING,15,5028092,0.2983238970169997
AL,TERMINATED,49,5028092,0.9745247302555323
AL,UNKNOWN,2,5028092,0.03977651960226662
AL,WITHDRAWN,3,5028092,0.05966477940339993
AR,ACTIVE_NOT_RECRUITING,10,3018669,0.33127182874306527
AR,COMPLETED,202,3018669,6.691690940609918
AR,ENROLLING_BY_INVITATION,1,3018669,0.03312718287430653
AR,NOT_YET_RECRUITING,3,3018669,0.09938154862291958
AR,RECRUITING,6,3018669,0.19876309724583915
AR,TERMINATED,21,3018669,0.695670840360437
AR,UNKNOWN,2,3018669,0.06625436574861306
AR,WITHDRAWN,1,3018669,0.03312718287430653
AZ,ACTIVE_NOT_RECRUITING,20,7172282,0.2788512777383823
AZ,COMPLETED,405,7172282,5.646738374202242
AZ,ENROLLING_BY_INVITATION,2,7172282,0.02788512777383823
AZ,NOT_YET_RECRUITING,2,7172282,0.02788512777383823
AZ,RECRUITING,25,7172282,0.34856409717297787
AZ,SUSPENDED,5,7172282,0.06971281943459558
AZ,TERMINATED,62,7172282,0.8644389609889851
AZ,UNKNOWN,3,7172282,0.041827691660757345
AZ,WITHDRAWN,3,7172282,0.041827691660757345
CA,ACTIVE_NOT_RECRUITING,49,39356104,0.12450419380942788
CA,COMPLETED,1030,39356104,2.617128971912464
CA,ENROLLING_BY_INVITATION,6,39356104,0.015245411486868721
CA,NOT_YET_RECRUITING,12,39356104,0.030490822973737442
CA,RECRUITING,79,39356104,0.2007312512437715
CA,SUSPENDED,2,39356104,0.005081803828956241
CA,TERMINATED,122,39356104,0.30999003356633065
CA,UNKNOWN,23,39356104,0.05844074403299676
CA,WITHDRAWN,23,39356104,0.05844074403299676
CO,ACTIVE_NOT_RECRUITING,18,5770790,0.31191569958359255
CO,COMPLETED,368,5770790,6.376943191486781
CO,ENROLLING_BY_INVITATION,3,5770790,0.051985949930598754
CO,NOT_YET_RECRUITING,3,5770790,0.051985949930598754
CO,RECRUITING,22,5770790,0.3812302994910575
CO,TERMINATED,34,5770790,0.5891740992134525
CO,UNKNOWN,5,5770790,0.08664324988433125
CO,WITHDRAWN,4,5770790,0.06931459990746501
CT,ACTIVE_NOT_RECRUITING,16,3611317,0.4430516623159917
CT,COMPLETED,226,3611317,6.2581047302133825
CT,NOT_YET_RECRUITING,2,3611317,0.05538145778949896
CT,RECRUITING,14,3611317,0.3876702045264927
CT,SUSPENDED,1,3611317,0.02769072889474948
CT,TERMINATED,27,3611317,0.747649680158236
CT,WITHDRAWN,3,3611317,0.08307218668424844
DC,ACTIVE_NOT_RECRUITING,3,670587,0.44736924515387266
DC,COMPLETED,96,670587,14.315815844923925
DC,ENROLLING_BY_INVITATION,1,670587,0.14912308171795755
DC,RECRUITING,7,670587,1.043861572025703
DC,SUSPENDED,1,670587,0.14912308171795755
DC,TERMINATED,12,670587,1.7894769806154907
DC,UNKNOWN,3,670587,0.44736924515387266
DC,WITHDRAWN,2,670587,0.2982461634359151
DE,COMPLETED,54,993635,5.434591172814968
DE,RECRUITING,2,993635,0.20128115454870252
DE,TERMINATED,5,993635,0.5032028863717563
DE,UNKNOWN,1,993635,0.10064057727435126
DE,WITHDRAWN,1,993635,0.10064057727435126
FL,ACTIVE_NOT_RECRUITING,35,21634529,0.1617784237410484
FL,COMPLETED,851,21634529,3.9335268172466336
FL,ENROLLING_BY_INVITATION,1,21634529,0.004622240678315668
FL,NOT_YET_RECRUITING,8,21634529,0.036977925426525345
FL,NO_LONGER_AVAILABLE,1,21634529,0.004622240678315668
FL,RECRUITING,49,21634529,0.22648979323746773
FL,SUSPENDED,3,21634529,0.013866722034947005
FL,TERMINATED,92,21634529,0.4252461424050415
FL,UNKNOWN,5,21634529,0.023111203391578343
FL,WITHDRAWN,10,21634529,0.046222406783156686
GA,ACTIVE_NOT_RECRUITING,30,10722325,0.2797900641885039
GA,COMPLETED,541,10722325,5.045547490866021
GA,NOT_YET_RECRUITING,6,10722325,0.055958012837700785
GA,RECRUITING,27,10722325,0.2518110577696535
GA,SUSPENDED,2,10722325,0.01865267094590026
GA,TERMINATED,66,10722325,0.6155381412147086
GA,UNKNOWN,8,10722325,0.07461068378360104
GA,WITHDRAWN,6,10722325,0.055958012837700785
HI,ACTIVE_NOT_RECRUITING,9,1450589,0.6204376291285816
HI,COMPLETED,147,1450589,10.133814609100165
HI,ENROLLING_BY_INVITATION,1,1450589,0.06893751434762017
HI,NOT_YET_RECRUITING,2,1450589,0.13787502869524035
HI,RECRUITING,9,1450589,0.6204376291285816
HI,TERMINATED,21,1450589,1.4476878013000236
HI,WITHDRAWN,2,1450589,0.13787502869524035
IA,ACTIVE_NOT_RECRUITING,15,3188836,0.4703910768694282
IA,COMPLETED,176,3188836,5.519255301934624
IA,ENROLLING_BY_INVITATION,1,3188836,0.03135940512462855
IA,NOT_YET_RECRUITING,1,3188836,0.03135940512462855
IA,RECRUITING,13,3188836,0.40767226662017114
IA,TERMINATED,21,3188836,0.6585475076171995
IA,UNKNOWN,1,3188836,0.03135940512462855
IA,WITHDRAWN,2,3188836,0.0627188102492571
ID,ACTIVE_NOT_RECRUITING,11,1854109,0.593276878543818
ID,COMPLETED,245,1854109,13.213894113021402
ID,NOT_YET_RECRUITING,2,1854109,0.10786852337160328
ID,RECRUITING,12,1854109,0.6472111402296197
ID,TERMINATED,25,1854109,1.348356542145041
ID,UNKNOWN,2,1854109,0.10786852337160328
ID,WITHDRAWN,4,1854109,0.21573704674320657
IL,ACTIVE_NOT_RECRUITING,31,12757634,0.2429917647739385
IL,COMPLETED,503,12757634,3.9427373445577762
IL,ENROLLING_BY_INVITATION,2,12757634,0.015676888049931514
IL,NOT_YET_RECRUITING,4,12757634,0.03135377609986303
IL,NO_LONGER_AVAILABLE,1,12757634,0.007838444024965757
IL,RECRUITING,26,12757634,0.2037995446491097
IL,SUSPENDED,2,12757634,0.015676888049931514
IL,TERMINATED,55,12757634,0.4311144213731167
IL,UNKNOWN,5,12757634,0.039192220124828786
IL,WITHDRAWN,7,12757634,0.0548691081747603
IN,ACTIVE_NOT_RECRUITING,21,6784403,0.30953349911554484
IN,COMPLETED,366,6784403,5.394726698870925
IN,ENROLLING_BY_INVITATION,1,6784403,0.014739690434073565
IN,NOT_YET_RECRUITING,4,6784403,0.05895876173629426
IN,RECRUITING,15,6784403,0.22109535651110346
IN,SUSPENDED,1,6784403,0.014739690434073565
IN,TERMINATED,39,6784403,0.574847926928869
IN,UNKNOWN,4,6784403,0.05895876173629426
IN,WITHDRAWN,4,6784403,0.05895876173629426
KS,ACTIVE_NOT_RECRUITING,15,2935922,0.5109127558565929
KS,COMPLETED,286,2935922,9.741403211665705
KS,RECRUITING,6,2935922,0.20436510234263716
KS,TERMINATED,39,2935922,1.3283731652271416
KS,UNKNOWN,3,2935922,0.10218255117131858
KS,WITHDRAWN,2,2935922,0.06812170078087905
KY,ACTIVE_NOT_RECRUITING,12,4502935,0.26649285410515583
KY,COMPLETED,299,4502935,6.6401136147868
KY,NOT_YET_RECRUITING,1,4502935,0.02220773784209632
KY,RECRUITING,14,4502935,0.3109083297893485
KY,SUSPENDED,2,4502935,0.04441547568419264
KY,TERMINATED,29,4502935,0.6440243974207933
KY,UNKNOWN,3,4502935,0.06662321352628896
KY,WITHDRAWN,2,4502935,0.04441547568419264
LA,ACTIVE_NOT_RECRUITING,16,4640546,0.34478701428668096
LA,COMPLETED,359,4640546,7.7361586330574035
LA,ENROLLING_BY_INVITATION,1,4640546,0.02154918839291756
LA,NOT_YET_RECRUITING,3,4640546,0.06464756517875267
LA,NO_LONGER_AVAILABLE,1,4640546,0.02154918839291756
LA,RECRUITING,14,4640546,0.30168863750084585
LA,SUSPENDED,1,4640546,0.02154918839291756
LA,TERMINATED,38,4640546,0.8188691589308672
LA,UNKNOWN,4,4640546,0.08619675357167024
LA,WITHDRAWN,3,4640546,0.06464756517875267
MA,ACTIVE_NOT_RECRUITING,38,6984205,0.5440848314160309
MA,COMPLETED,354,6984205,5.0685797452967085
MA,ENROLLING_BY_INVITATION,3,6984205,0.0429540656381077
MA,NOT_YET_RECRUITING,6,6984205,0.0859081312762154
MA,RECRUITING,34,6984205,0.48681274389855395
MA,SUSPENDED,1,6984205,0.014318021879369234
MA,TERMINATED,40,6984205,0.5727208751747693
MA,UNKNOWN,14,6984205,0.20045230631116928
MA,WITHDRAWN,10,6984205,0.14318021879369233
MD,ACTIVE_NOT_RECRUITING,21,6161707,0.3408146476293014
MD,COMPLETED,408,6161707,6.621541725369285
MD,ENROLLING_BY_INVITATION,1,6161707,0.01622926893472864
MD,NOT_YET_RECRUITING,4,6161707,0.06491707573891456
MD,NO_LONGER_AVAILABLE,1,6161707,0.01622926893472864
MD,RECRUITING,22,6161707,0.35704391656403006
MD,TERMINATED,51,6161707,0.8276927156711607
MD,UNKNOWN,5,6161707,0.08114634467364319
MD,WITHDRAWN,5,6161707,0.08114634467364319
ME,ACTIVE_NOT_RECRUITING,1,1366949,0.07315561882703744
ME,COMPLETED,76,1366949,5.559827030854845
ME,RECRUITING,1,1366949,0.07315561882703744
ME,TERMINATED,6,1366949,0.43893371296222466
ME,WITHDRAWN,1,1366949,0.07315561882703744
MI,ACTIVE_NOT_RECRUITING,18,10057921,0.17896342594060938
MI,COMPLETED,376,10057921,3.738347119648285
MI,NOT_YET_RECRUITING,3,10057921,0.029827237656768233
MI,RECRUITING,26,10057921,0.258502726358658
MI,SUSPENDED,1,10057921,0.009942412552256077
MI,TERMINATED,37,10057921,0.36786926443347484
MI,UNKNOWN,5,10057921,0.04971206276128039
MI,WITHDRAWN,6,10057921,0.059654475313536466
MN,ACTIVE_NOT_RECRUITING,18,5695292,0.31605052032450665
MN,COMPLETED,287,5695292,5.039249962951856
MN,NOT_YET_RECRUITING,3,5695292,0.05267508672075111
MN,RECRUITING,20,5695292,0.3511672448050074
MN,SUSPENDED,2,5695292,0.03511672448050074
MN,TERMINATED,25,5695292,0.43895905600625923
MN,UNKNOWN,1,5695292,0.01755836224025037
MN,WITHDRAWN,2,5695292,0.03511672448050074
MO,ACTIVE_NOT_RECRUITING,26,6154422,0.4224604682616824
MO,COMPLETED,406,6154422,6.596882696701656
MO,ENROLLING_BY_INVITATION,1,6154422,0.016248479548526245
MO,NOT_YET_RECRUITING,1,6154422,0.016248479548526245
MO,RECRUITING,23,6154422,0.37371502961610364
MO,SUSPENDED,1,6154422,0.016248479548526245
MO,TERMINATED,48,6154422,0.7799270183292598
MO,UNKNOWN,2,6154422,0.03249695909705249
MO,WITHDRAWN,5,6154422,0.08124239774263123
MS,ACTIVE_NOT_RECRUITING,12,2958846,0.4055635203724695
MS,COMPLETED,151,2958846,5.103340964686908
MS,RECRUITING,4,2958846,0.1351878401241565
MS,TERMINATED,15,2958846,0.5069544004655869
MS,UNKNOWN,1,2958846,0.033796960031039124
MT,ACTIVE_NOT_RECRUITING,7,1091840,0.6411195779601406
MT,COMPLETED,152,1091840,13.921453692848768
MT,RECRUITING,8,1091840,0.7327080890973037
MT,TERMINATED,15,1091840,1.3738276670574443
NC,ACTIVE_NOT_RECRUITING,34,10470214,0.32473070750989425
NC,COMPLETED,601,10470214,5.740092800395484
NC,ENROLLING_BY_INVITATION,1,10470214,0.009550903162055714
NC,NOT_YET_RECRUITING,5,10470214,0.04775451581027857
NC,NO_LONGER_AVAILABLE,1,10470214,0.009550903162055714
NC,RECRUITING,38,10470214,0.3629343201581171
NC,SUSPENDED,3,10470214,0.02865270948616714
NC,TERMINATED,75,10470214,0.7163177371541785
NC,UNKNOWN,6,10470214,0.05730541897233428
NC,WITHDRAWN,9,10470214,0.08595812845850143
ND,ACTIVE_NOT_RECRUITING,7,776874,0.9010470166333279
ND,COMPLETED,104,776874,13.38698424712373
ND,RECRUITING,4,776874,0.5148840095047588
ND,TERMINATED,3,776874,0.3861630071285691
ND,WITHDRAWN,1,776874,0.1287210023761897
NE,ACTIVE_NOT_RECRUITING,3,1958939,0.1531441254679191
NE,COMPLETED,236,1958939,12.04733787014297
NE,ENROLLING_BY_INVITATION,1,1958939,0.0510480418226397
NE,RECRUITING,7,1958939,0.3573362927584779
NE,SUSPENDED,1,1958939,0.0510480418226397
NE,TERMINATED,33,1958939,1.68458538014711
