term,mean_tfidf
diabetes,0.08101991142509914
type,0.06994040633766792
study,0.05488402143413119
patients,0.04412306354553848
insulin,0.04295952829052283
randomized,0.04104270663425861
controlled,0.03958760769775032
mellitus,0.03948568356322968
safety,0.03872175399917449
subjects,0.03417239132303502
placebo,0.033897299962721145
double,0.03185510867575319
efficacy,0.03177926824743063
blind,0.03159294274236108
trial,0.029011152292855325
phase,0.028445156308785757
glucose,0.02625471558986575
effect,0.024579597079225992
control,0.023973189481478106
metformin,0.023909299894736443
evaluate,0.02370510051837983
effects,0.021289902478072574
glycemic,0.020189039723920863
treatment,0.020110997762286184
dose,0.020053238059093054
diabetic,0.019469381118909435
therapy,0.019170045790595495
parallel,0.01889512725625706
management,0.018593348355427808
health,0.0183162830265009
