NAME,pop_total,pop_poverty,median_hh_income,gini_index,pop_nhwhite,pop_nhblack,pop_hispanic,hh_no_vehicle_owned,hh_total,hh_no_internet,pop_unemployed,pop_labor_force,state,county,county_fips,pct_uninsured,pct_bachelors_plus,pct_poverty,pct_nhwhite,pct_nhblack,pct_hispanic,pct_no_vehicle,pct_no_internet,pct_unemployed
"Autauga County, Alabama",58761,6630,68315.0,0.4541,42635,11496,1864,326,22308,2111,752,28106,01,001,01001,7.4,29.6,11.282993822433246,72.55662769524004,19.563996528309595,3.172172018856044,1.461359153666846,9.462972924511385,2.6755852842809364
"Baldwin County, Alabama",233420,23445,71039.0,0.4648,192161,19318,11210,1121,90802,8127,3825,111766,01,003,01003,9.3,32.6,10.044126467312141,82.32413674920744,8.276068888698484,4.802501927855368,1.2345543049712562,8.950243386709543,3.4223287940876475
"Barbour County, Alabama",24877,5280,39712.0,0.5098,11084,11662,1202,239,9016,2194,516,8968,01,005,01005,10.7,11.9,21.224424166901155,44.55521164127507,46.878642923182056,4.831772319813482,2.6508429458740017,24.334516415261756,5.75379125780553
"Bibb County, Alabama",22251,4297,50669.0,0.4553,16520,4598,650,216,7216,1391,786,9028,01,007,01007,8.4,10.9,19.311491618354232,74.2438542087996,20.664239809446766,2.9212170239539796,2.9933481152993346,19.27660753880266,8.706247230837395
"Blount County, Alabama",59077,8277,57440.0,0.4475,50614,729,5721,362,21626,3243,1578,26459,01,009,01009,10.2,14.7,14.010528632124178,85.67462802782809,1.2339827682516038,9.683971765661763,1.6739110330158142,14.995838342735595,5.96394421557882
"Bullock County, Alabama",10328,2687,36136.0,0.5058,2125,7117,907,179,3450,1100,144,3888,01,011,01011,12.2,9.4,26.016653756777693,20.575135553834237,68.90975987606507,8.781951975213014,5.188405797101449,31.884057971014492,3.7037037037037037
"Butler County, Alabama",18981,3937,44429.0,0.4837,9655,8462,322,144,7131,1196,548,8047,01,013,01013,11.0,13.0,20.74179442600495,50.866656129814025,44.58142352879195,1.6964332753806437,2.0193521245267143,16.771841256485768,6.8099913011060025
"Calhoun County, Alabama",116162,20267,54339.0,0.4519,81851,25204,4736,786,44693,6493,3692,53521,01,015,01015,10.8,19.2,17.447185826690312,70.46280194900226,21.697284826363184,4.077064788829394,1.7586646678450764,14.528002147987381,6.89822686422152
"Chambers County, Alabama",34612,6080,48805.0,0.4371,18794,14107,1129,350,13143,2528,559,15691,01,017,01017,10.8,12.7,17.56616202473131,54.29908702184213,40.75754073731654,3.2618744943950073,2.663014532450734,19.23457353724416,3.5625517812758907
"Cherokee County, Alabama",25069,3516,46621.0,0.4484,22749,1000,479,143,9997,1957,425,10713,01,019,01019,10.2,14.6,14.02529019905062,90.74554230324306,3.9889903865331684,1.9107263951493876,1.4304291287386215,19.57587276182855,3.967142723793522
"Chilton County, Alabama",45140,6422,62471.0,0.4211,35714,4254,3664,230,16931,2915,1056,19921,01,021,01021,11.5,14.0,14.226849800620293,79.11829862649535,9.42401417811254,8.116969428444838,1.358454905203473,17.21693934203532,5.30093870789619
"Choctaw County, Alabama",12669,2388,43299.0,0.4675,7162,5055,143,250,5228,1357,249,4781,01,023,01023,8.2,13.0,18.84915936538006,56.53169153050754,39.900544636514326,1.1287394427342332,4.781943381790359,25.95638867635807,5.20811545701736
"Clarke County, Alabama",23058,5073,47549.0,0.529,11809,10479,335,327,8188,1927,1116,8967,01,025,01025,9.5,13.8,22.00104085349987,51.21432908318154,45.44626593806922,1.4528580102350594,3.993649242794333,23.534440644846118,12.445633991301438
"Clay County, Alabama",14209,2440,48074.0,0.48,11385,1790,437,106,5485,1280,315,5513,01,027,01027,8.1,12.8,17.172214793440777,80.12527271447674,12.597649377155324,3.0755155183334506,1.9325432999088423,23.336371923427528,5.713767458733901
"Cleburne County, Alabama",15144,1931,51553.0,0.4724,13964,411,401,273,5761,1397,152,5844,01,029,01029,10.1,16.5,12.750924458531431,92.2081352350766,2.713946117274168,2.6479133650290545,4.738760631834751,24.24926228085402,2.6009582477754964
"Coffee County, Alabama",53559,8592,62199.0,0.4354,36875,8598,4500,343,20363,2507,1095,24401,01,031,01031,10.9,21.6,16.04212177225116,68.84930637241173,16.05332437125413,8.401949252226517,1.684427638363699,12.311545450081029,4.487521003237572
"Colbert County, Alabama",57270,8998,56149.0,0.4488,44485,9171,1837,340,23266,4687,903,26546,01,033,01033,7.9,18.0,15.71154181945172,77.67592107560678,16.013619696176008,3.20761306093941,1.4613599243531332,20.145276368950398,3.401642432004822
"Conecuh County, Alabama",11576,2122,39888.0,0.4639,5751,5553,80,100,4453,1430,171,3928,01,035,01035,8.6,13.3,18.33102971665515,49.680373185901864,47.96993780234969,0.691085003455425,2.2456770716370986,32.11318212441051,4.353360488798371
"Coosa County, Alabama",10329,1102,52279.0,0.4216,6632,3120,284,81,3999,774,178,4096,01,037,01037,6.2,10.6,10.668990221705876,64.20757091683609,30.206215509729887,2.749540129731823,2.0255063765941483,19.35483870967742,4.345703125
"Covington County, Alabama",37542,6921,48772.0,0.4908,30958,4606,749,266,14194,2885,877,16001,01,039,01039,10.3,16.3,18.43535240530606,82.46230888072026,12.26892547014011,1.995098822651963,1.874031280822883,20.325489643511343,5.480907443284795
"Crenshaw County, Alabama",13205,1916,48557.0,0.5581,9226,3026,335,148,4839,1431,332,5492,01,041,01041,8.5,17.2,14.509655433547898,69.86747444149943,22.915562287012495,2.5369178341537295,3.0584831576772062,29.572225666460014,6.045156591405681
"Cullman County, Alabama",88284,11364,58119.0,0.4425,80170,959,4056,415,33649,4665,1789,41231,01,043,01043,10.6,18.3,12.872094603778715,90.80920665126183,1.086267047256581,4.594263966290607,1.2333204552884187,13.863710660049334,4.338968252043365
"Dale County, Alabama",49455,8469,52813.0,0.4432,33286,10087,3467,456,19400,2584,1527,21870,01,045,01045,10.0,19.2,17.124658780709737,67.3056313820645,20.396319886765745,7.010413507228794,2.350515463917526,13.31958762886598,6.982167352537723
"Dallas County, Alabama",38326,10230,37180.0,0.4894,10365,26311,430,730,14753,3211,1445,15804,01,047,01047,9.5,15.7,26.692062829410844,27.044304127746177,68.6505244481553,1.1219537650681,4.948146139768183,21.76506473259676,9.143254872184258
"DeKalb County, Alabama",71680,14251,47920.0,0.4555,56705,1043,11021,438,25690,3829,1258,32124,01,049,01049,14.6,14.1,19.881417410714285,79.10853794642857,1.455078125,15.375279017857142,1.7049435578045933,14.904632152588556,3.9160752085668036
"Elmore County, Alabama",87694,7986,73258.0,0.4189,63533,18224,2739,758,32184,3306,1700,41512,01,051,01051,8.2,24.2,9.106666362578968,72.44851415148129,20.78135334230392,3.123360777248158,2.3552075565498383,10.272184936614467,4.0952013875505875
"Escambia County, Alabama",36755,7449,41153.0,0.4673,22117,11115,940,314,13022,3565,1313,14277,01,053,01053,12.3,12.6,20.26663039042307,60.17412596925588,30.24078356686165,2.55747517344579,2.411303947166334,27.376747043464906,9.196609932058555
"Etowah County, Alabama",103348,16146,52177.0,0.4556,79648,15507,4561,563,38791,5299,2847,47374,01,055,01055,11.7,17.7,15.622943840229128,77.06777102604792,15.004644502070674,4.413244571738205,1.4513675852646233,13.660385140883195,6.009625532992781
"Fayette County, Alabama",16297,3543,45650.0,0.4876,13666,2074,61,253,6143,1464,672,6972,01,057,01057,10.1,13.0,21.740197582377125,83.85592440326441,12.726268638399706,0.3743020187764619,4.1185088718867,23.832003906885888,9.63855421686747
"Franklin County, Alabama",32011,5246,47359.0,0.4441,24088,1360,5892,584,11239,3749,536,14005,01,059,01059,12.5,14.8,16.38811658492393,75.24913311049326,4.248539564524695,18.40617287807316,5.1961918320135245,33.35706023667586,3.827204569796501
"Geneva County, Alabama",26647,5480,47608.0,0.4363,21535,2377,1185,167,10391,2210,437,11382,01,061,01061,12.1,13.9,20.56516681052276,80.81585169062183,8.920328742447555,4.4470296843922394,1.6071600423443364,21.26840535078433,3.839395536812511
"Greene County, Alabama",7706,2504,32796.0,0.4702,1321,6305,24,159,2872,1097,111,2466,01,063,01063,13.9,16.7,32.4941603944978,17.142486374253828,81.8193615364651,0.3114456267843239,5.536211699164346,38.19637883008357,4.5012165450121655
"Hale County, Alabama",14742,3613,35851.0,0.5119,5663,8373,25,319,5403,1474,450,5902,01,065,01065,7.0,16.4,24.508207841541175,38.414055080721745,56.796906796906796,0.16958350291683624,5.904127336664816,27.28114010734777,7.624534056252118
"Henry County, Alabama",17282,2608,58395.0,0.4655,12012,4344,469,270,6686,1279,412,7739,01,067,01067,9.6,21.0,15.090845966901979,69.50584423099178,25.135979631987038,2.713806272422173,4.038288962010171,19.12952437930003,5.3236852306499545
"Houston County, Alabama",107040,18878,55064.0,0.4833,69420,29026,3844,741,41543,6100,2403,48358,01,069,01069,11.7,22.5,17.636397608370704,64.8542600896861,27.11696562032885,3.59118086696562,1.7836940038032882,14.683580868016273,4.969188138467265
"Jackson County, Alabama",52618,9680,46748.0,0.4574,46699,1708,1685,368,20670,2800,1312,21720,01,071,01071,11.0,16.2,18.396746360561025,88.75099775742142,3.2460374776692387,3.202326200159641,1.780358006773101,13.546202225447509,6.040515653775322
"Jefferson County, Alabama",672265,103894,63595.0,0.5049,328951,286423,27950,5205,265794,27332,17733,329543,01,073,01073,9.0,35.6,15.454322328248534,48.93174566577168,42.60566889545046,4.157586665972496,1.9582834826971263,10.283151613655688,5.38108835569258
"Lamar County, Alabama",13885,2107,49565.0,0.4259,11900,1527,76,98,5168,1244,284,5674,01,075,01075,7.8,10.2,15.174648901692473,85.70399711919337,10.997479294202376,0.5473532589124955,1.8962848297213621,24.071207430340557,5.0052872752908
"Lauderdale County, Alabama",94329,12188,56081.0,0.4618,78667,9197,2803,599,38237,5972,1632,45176,01,077,01077,9.5,25.8,12.920734874746897,83.39641043581507,9.749917840748868,2.9715145925431203,1.5665454925857154,15.618380103041556,3.6125376306003187
"Lawrence County, Alabama",33116,5182,54786.0,0.4483,25273,3366,829,263,12829,3291,423,14271,01,079,01079,9.1,15.8,15.648025123807223,76.31658412851793,10.164271047227926,2.5033216572049763,2.050042871618988,25.6528178345935,2.964052974563801
