county_fips,amc_count,has_ctsa
01073,0,1
01089,0,1
04019,0,1
05131,2,0
06037,0,1
06059,0,1
06073,0,1
06075,0,1
06085,0,1
06113,0,1
08031,0,1
09009,0,1
11001,0,1
12001,0,1
12057,0,1
12086,0,1
13121,0,1
15003,0,1
17019,0,1
17031,0,1
17097,1,0
18097,0,1
19103,0,1
20091,0,1
21067,0,1
22033,0,1
22071,0,1
24031,0,1
24510,0,1
25017,0,1
25025,0,1
26161,0,1
27003,0,1
29189,0,1
31055,0,1
33015,0,1
34023,0,1
35001,0,1
36055,0,1
36061,0,1
37063,0,1
37067,0,1
37135,0,1
39035,0,1
39049,0,1
40109,0,1
41051,0,1
42003,0,1
42101,0,1
44007,0,1
45019,0,1
47037,0,1
48029,0,1
48113,0,1
49035,0,1
50007,0,1
51540,0,1
51760,0,1
53033,0,1
55025,0,1
55079,0,1
