county_fips,places_access2,places_bphigh,places_chd,places_depression,places_diabetes,places_foodinsecu,places_foodstamp,places_ghlth,places_housinsecu,places_lacktrpt,places_lpa,places_mhlth,places_obesity,places_stroke
00059,11.5,30.7,5.3,20.7,10.3,15.6,11.8,18.3,12.9,8.3,23.7,16.3,32.9,2.9
01001,9.1,38.2,5.6,25.9,11.4,17.0,11.6,20.0,13.2,8.9,26.0,18.0,39.5,3.2
01003,8.8,37.0,5.5,23.9,10.4,14.2,9.1,17.7,11.0,7.5,23.7,16.8,35.0,2.9
01005,14.8,45.4,7.4,22.9,16.5,32.1,26.2,29.9,23.2,15.6,34.5,19.9,47.1,4.7
01007,13.0,42.4,7.0,25.0,13.9,24.3,18.7,26.3,17.2,12.2,31.9,19.9,43.7,4.0
01009,12.0,36.0,6.3,26.0,11.3,17.7,12.1,22.1,13.1,9.2,27.7,18.9,36.0,3.3
01011,18.2,52.4,8.8,21.7,21.3,44.0,40.4,37.8,31.2,21.8,42.7,21.3,51.0,6.2
01013,11.8,44.8,6.7,23.8,15.2,28.6,23.5,27.0,21.2,14.1,35.1,20.2,40.7,4.3
01015,11.0,41.5,6.4,25.3,12.9,21.5,16.0,24.4,15.5,10.8,31.0,19.3,39.1,3.6
01017,12.1,42.8,6.5,23.9,14.5,26.1,20.3,25.8,19.5,12.9,32.5,20.0,41.6,4.1
01019,10.8,37.5,6.6,27.1,11.8,18.4,13.4,23.1,13.2,9.6,28.8,19.8,39.3,3.5
01021,12.1,39.0,6.3,25.3,12.0,19.4,13.4,22.8,14.2,9.8,30.0,19.3,39.8,3.4
01023,11.8,44.2,6.8,25.3,15.0,27.3,22.4,27.5,19.8,13.5,33.5,20.3,44.5,4.3
01025,11.6,43.5,6.5,23.9,14.9,27.4,21.4,26.7,20.3,13.3,32.5,19.7,44.2,4.1
01027,11.7,40.6,6.8,26.0,12.9,21.6,16.3,24.8,15.4,11.0,30.5,20.0,42.4,3.7
01029,10.6,37.0,6.5,26.9,11.7,17.9,13.1,22.3,12.7,9.3,28.7,19.7,37.1,3.4
01031,11.7,39.5,6.3,25.0,12.7,20.3,14.6,22.8,14.9,10.5,28.8,18.7,40.8,3.5
01033,10.2,38.6,6.1,25.8,12.1,18.7,13.6,22.0,14.2,9.7,26.9,18.9,37.4,3.4
01035,13.6,46.5,7.6,24.1,16.8,32.8,28.8,30.6,23.5,16.2,36.6,20.8,46.8,4.8
01037,11.9,40.7,6.6,24.3,13.5,23.1,17.4,24.8,17.1,11.6,30.6,19.5,41.6,3.9
01039,10.9,39.6,6.6,26.0,12.8,20.5,15.7,24.3,14.8,10.6,29.7,20.0,38.1,3.7
01041,11.7,40.8,6.5,25.0,13.4,23.0,17.4,24.8,16.8,11.5,30.9,19.6,40.3,3.8
01043,10.5,37.3,6.3,26.5,11.0,16.4,11.6,21.5,12.2,8.8,25.9,18.9,36.2,3.3
01045,11.8,40.5,6.6,25.5,13.7,22.2,17.1,25.0,16.4,11.6,30.6,19.6,41.5,3.8
01047,13.0,49.2,7.2,21.4,18.1,35.9,33.3,31.3,26.5,17.9,36.1,20.3,46.5,5.2
01049,15.4,40.0,7.3,27.2,13.3,23.7,17.7,26.8,16.2,11.7,32.6,20.1,38.6,3.9
01051,9.5,38.2,5.8,23.6,11.4,17.9,12.4,20.8,13.5,9.2,25.4,18.4,38.7,3.2
01053,13.5,44.0,7.6,24.9,15.6,29.9,25.0,29.9,20.8,14.9,34.1,20.9,43.9,4.6
01055,11.3,40.9,6.6,26.1,13.4,20.8,15.7,24.9,15.4,10.7,31.7,19.6,43.6,3.7
01057,11.5,40.9,6.9,27.3,13.1,21.3,16.6,24.5,15.2,11.0,30.6,20.2,40.6,3.8
01059,16.5,39.9,7.2,25.9,13.9,25.0,18.7,27.3,17.3,12.1,32.7,19.8,42.2,3.9
01061,12.5,39.1,7.0,27.1,13.0,22.2,17.0,25.3,15.7,11.2,30.1,20.1,42.2,3.8
01063,15.4,52.4,8.2,22.0,21.1,44.4,42.2,36.0,31.8,22.1,42.0,21.5,53.4,6.1
01065,12.8,46.0,6.9,22.3,16.3,31.6,26.6,28.9,23.4,15.5,34.4,20.0,47.8,4.7
01067,10.9,40.4,6.3,24.8,12.8,21.3,16.1,23.1,15.7,10.8,29.1,19.1,41.2,3.7
01069,10.8,39.8,6.3,25.8,13.1,21.5,16.6,23.6,16.4,11.1,27.7,19.5,40.5,3.7
01071,11.8,39.6,7.0,28.2,12.7,20.8,15.6,24.9,14.3,10.6,30.6,20.3,39.1,3.7
01073,9.3,40.0,5.7,23.2,13.5,20.8,15.2,20.3,16.0,10.5,27.4,17.5,37.6,3.6
01075,11.5,40.4,6.9,26.5,12.9,21.3,16.5,24.8,15.1,10.9,30.0,20.4,40.8,3.8
01077,9.5,35.9,5.9,25.2,11.0,16.1,11.7,20.2,12.3,8.8,25.8,18.6,36.7,3.2
01079,11.1,38.7,6.6,26.1,12.5,20.6,15.1,23.7,15.0,10.8,29.4,19.8,39.2,3.7
01081,9.1,38.6,5.9,23.4,12.7,17.5,12.8,20.1,13.7,9.4,25.7,17.3,39.9,3.3
01083,9.6,37.3,5.6,24.2,10.9,15.4,9.9,19.3,12.1,8.2,24.5,17.1,39.0,3.0
01085,14.7,50.4,7.8,22.0,19.4,40.3,37.0,33.8,29.0,19.8,39.3,21.0,51.3,5.6
01087,11.9,48.4,6.6,21.6,17.7,33.2,27.8,28.6,25.3,16.4,34.8,19.7,49.1,4.8
01089,8.3,36.2,5.2,22.0,10.9,13.7,9.3,17.3,11.4,7.8,22.2,16.0,40.1,2.9
01091,12.1,45.7,6.8,23.5,16.1,28.9,23.9,27.3,21.2,14.2,32.7,19.5,43.2,4.4
01093,11.7,39.3,6.9,27.3,12.3,20.3,15.1,24.1,14.1,10.3,30.1,20.1,42.5,3.7
01095,13.1,37.5,6.4,26.2,12.4,19.2,13.2,23.5,13.9,9.8,29.7,18.8,37.6,3.4
01097,10.5,39.6,6.1,22.7,14.1,22.3,16.5,22.1,16.6,11.3,29.7,18.1,39.0,3.7
01099,12.8,44.7,7.1,24.2,15.6,29.6,24.7,28.7,21.5,14.6,34.7,20.6,43.9,4.5
01101,10.4,43.8,6.0,21.4,14.8,25.6,20.2,23.8,20.2,12.9,29.9,17.7,46.3,4.0
01103,11.7,39.9,6.2,24.9,12.3,18.8,13.0,22.4,14.2,9.6,28.6,18.0,38.5,3.3
01105,14.5,51.9,8.2,23.4,20.5,41.9,39.6,35.4,29.8,20.7,40.3,21.7,54.0,5.8
01107,14.0,43.6,7.0,23.1,15.2,27.9,22.3,27.5,20.5,13.8,33.4,19.5,48.0,4.3
01109,10.7,42.6,6.6,24.6,14.6,24.8,20.0,24.7,18.5,12.6,29.2,19.2,43.3,4.1
01111,10.9,39.7,6.5,25.8,12.7,20.7,15.5,23.5,15.1,10.6,28.2,19.4,38.0,3.6
01113,12.2,43.7,6.6,24.3,15.3,28.0,21.9,26.4,21.0,13.8,32.3,19.6,42.7,4.3
01115,9.5,37.2,5.8,25.9,10.9,16.1,10.8,20.1,12.4,8.6,26.3,18.6,39.2,3.1
01117,7.4,36.4,4.8,22.3,9.6,11.6,7.0,15.3,9.5,6.5,19.9,15.4,31.6,2.5
01119,11.8,49.1,7.1,21.9,18.2,34.1,29.9,29.4,25.7,16.8,35.7,20.0,50.0,5.1
01121,11.4,43.0,6.6,23.7,14.2,23.6,18.3,24.9,17.7,11.9,31.1,19.1,45.4,3.9
01123,10.7,40.8,6.3,25.2,12.7,21.0,15.4,23.4,15.9,10.8,27.8,19.1,39.6,3.6
01125,9.6,40.8,5.9,24.7,12.4,20.1,14.3,21.2,15.5,10.2,26.8,18.0,43.2,3.5
01127,11.2,38.6,6.7,27.8,12.2,20.1,14.5,24.2,13.9,10.1,30.6,20.0,35.7,3.5
01129,10.2,40.8,6.4,25.5,13.3,22.3,16.3,24.2,16.4,11.3,29.9,19.6,41.0,3.8
01131,15.1,50.4,7.8,22.7,19.1,40.4,36.4,34.0,29.0,19.8,39.1,21.4,51.9,5.5
01133,12.6,39.5,7.1,28.0,12.7,21.5,16.4,25.5,14.6,10.8,31.8,20.4,39.0,3.8
02013,16.0,33.8,6.4,12.3,12.9,21.0,12.0,22.4,14.9,10.8,28.5,13.0,29.8,3.6
02016,13.1,32.2,5.7,13.1,11.4,16.4,8.9,18.7,12.7,9.0,25.6,13.0,30.5,3.1
