stateabbr,places_access2,places_bphigh,places_chd,places_depression,places_diabetes,places_foodinsecu,places_foodstamp,places_ghlth,places_housinsecu,places_lacktrpt,places_lpa,places_mhlth,places_obesity,places_stroke
AK,10.110819521096111,31.56013471972525,5.488177967696663,20.77844484395921,8.991942806852137,14.36250486199115,10.183473531947538,18.442494967727132,12.533191850137749,9.1433083766058,21.625233420386127,16.306691892260073,35.33643347631023,3.0105843530818297
AL,10.320866757776242,39.61436675325094,6.047814476366317,24.086466331190348,12.746376131704624,20.033456698313664,14.774885006843274,21.84038022157929,15.144880491589461,10.30575684805115,27.764432068559454,18.176227062963154,39.62891451890423,3.511777697663029
AR,11.719782958049622,37.96652174060295,6.380913872430067,25.33270065415702,11.515779061556465,19.317216327339292,12.23339079574146,23.427491782819192,15.56370241359048,10.23623548128718,31.12723468369993,19.508439946421102,39.557744894002184,3.440913559152695
AZ,13.549793119721768,29.337929111144927,5.21171328127271,20.08600903508877,9.85332301126308,16.715853725264218,11.79722923374445,18.73604904664766,13.112944354864911,9.19231735321828,21.237022011487078,16.165820108715167,31.715869917976303,2.867921519208113
CA,10.747164107146624,28.46041676141476,4.971181047908872,20.441596795546353,10.707798483357736,18.33494241587778,15.916730739312975,21.643394969069636,15.619200555028314,9.507103560986074,24.177213668207933,16.89188126263044,27.85701696396051,2.8626495223188932
CO,11.186209560263231,25.614063916090455,4.709072951189875,22.882415998023557,8.0165704109394,,,15.212720725141253,,,17.447444887609194,16.39654658898726,26.06240986882485,2.547651174391359
CT,10.525918858126108,28.3389132019667,4.737383136559798,21.30057342468877,8.642542196607685,15.695919652821686,12.386277507696454,15.637789606072857,13.627302699546334,8.785772219515652,24.096786285627413,16.74859466724714,30.738517581775906,2.6930759556214348
DC,6.2,30.3,4.1,21.0,8.5,13.8,12.8,13.5,12.0,7.8,15.3,13.7,25.1,3.0
DE,9.484219564072044,32.98333707338966,5.24817550295627,22.060249868284973,10.766372177883582,14.931626729369523,12.446468573770172,17.646705660819173,13.029446601752298,8.311012839775987,25.962077780162744,16.78256971139774,35.491410228891446,2.971613948133549
FL,16.547307807735244,31.416283878508704,5.621704308250361,17.96505343451738,11.100460227857745,,,19.055238582716083,,,24.908703692722543,17.26801602621366,32.174948588534555,3.014022465201779
