county_fips,county_site_count,county_trial_count
01003,22,22
01007,2,2
01015,48,47
01033,77,73
01039,1,1
01043,3,3
01045,11,11
01049,3,3
01051,11,8
01069,16,16
01071,3,3
01073,398,320
01077,1,1
01083,4,4
01089,74,71
01093,1,1
01095,11,11
01097,85,74
01101,44,40
01117,27,27
01125,15,15
01133,14,14
02290,1,1
04001,4,4
04003,8,8
04005,3,3
04013,890,467
04019,220,181
04025,3,3
04027,5,5
05005,5,5
05007,1,1
05027,1,1
05031,50,49
05045,4,4
05051,18,18
05059,2,2
05063,1,1
05069,9,9
05085,4,4
05089,5,5
05111,13,13
05119,210,176
05125,1,1
05131,1,1
05143,18,17
05145,45,45
06001,58,55
06007,2,2
06013,393,335
06019,235,219
06025,6,5
06029,20,19
06033,139,138
06037,1550,720
06039,1,1
06041,1,1
06045,2,2
06047,10,10
06053,35,35
06055,1,1
06059,944,543
06061,97,92
06065,209,178
06067,186,156
06071,215,184
06073,855,589
06075,74,74
06077,20,20
06079,20,20
06081,93,86
06083,82,81
06085,165,152
06087,5,5
06089,2,2
06095,15,14
06097,11,10
06099,12,12
06107,6,5
06111,38,35
06113,8,5
08001,16,16
08005,200,178
08013,20,19
08015,1,1
08031,201,183
08035,5,5
08041,126,111
08059,86,77
08067,1,1
08069,19,17
08077,1,1
08081,1,1
08083,1,1
08099,1,1
08101,4,4
08123,1,1
09001,76,61
09003,42,41
09005,1,1
09009,199,189
09011,7,7
09013,2,2
10003,66,61
10005,3,3
12001,81,76
12005,1,1
12009,81,74
12011,551,365
12015,48,47
12017,24,23
12019,44,42
12021,11,11
12031,389,300
12033,15,15
12035,1,1
12053,38,38
12057,231,200
12061,21,21
12063,24,24
12069,6,6
12071,40,39
12073,25,25
12075,24,24
12081,84,82
12083,100,98
12085,5,5
12086,1435,659
12091,8,7
12095,359,297
12097,77,75
12099,372,280
12101,141,130
12103,363,259
12105,53,50
12113,2,2
12115,86,81
12117,95,92
12119,4,4
12127,214,171
12131,5,5
12133,19,19
13015,9,9
13031,8,8
13045,1,1
13051,58,52
13057,33,33
13063,7,7
13067,72,65
13073,2,2
13077,1,1
13081,1,1
13085,2,2
13087,6,6
13089,168,133
13095,4,4
13097,2,2
13103,4,4
13107,1,1
13111,38,38
13113,10,10
13115,2,2
13117,9,9
13121,636,431
13123,1,1
13127,4,4
13129,5,5
13135,131,117
13139,14,14
13147,1,1
13151,21,20
13153,27,27
13171,1,1
13179,1,1
13185,1,1
13189,1,1
13215,74,74
13225,2,2
13237,1,1
13247,35,35
13275,5,5
13279,1,1
13291,2,2
13299,4,4
13303,2,2
13313,2,2
15003,3,3
15007,1,1
15009,2,2
16001,82,80
16005,8,8
16011,33,33
16017,1,1
16019,139,138
16027,34,34
16055,12,12
16065,6,6
16069,2,2
16079,1,1
17001,3,3
17007,4,4
17019,9,9
17031,737,528
17043,54,48
17057,7,7
17075,2,2
17083,1,1
17089,23,23
17097,89,81
17111,24,24
17113,3,3
17117,9,9
17119,1,1
17143,57,56
17157,1,1
17161,7,7
17163,14,13
17167,95,92
17179,3,3
17195,2,2
17197,5,5
17201,1,1
18001,1,1
18003,13,13
18019,1,1
18035,54,52
18039,15,15
18043,13,13
18057,14,14
18059,41,41
18063,119,96
18069,2,2
18081,39,39
18083,4,4
18085,1,1
18089,16,15
18091,9,9
18095,17,16
18105,15,15
18127,38,38
18141,33,31
18157,30,30
18163,141,125
18167,2,2
18169,1,1
18173,7,7
18177,4,4
19013,19,19
19061,13,12
19099,2,2
19103,1,1
19153,166,158
19155,41,41
19163,2,2
19169,8,8
20015,8,8
20063,4,4
20079,29,29
20091,58,54
20103,2,2
20125,1,1
20151,1,1
20155,4,4
20161,4,4
20173,121,113
20177,167,162
21013,1,1
21015,1,1
21017,4,4
21019,3,2
21035,1,1
21037,1,1
21047,1,1
21059,23,21
21093,7,7
21099,7,7
21107,39,39
21111,153,145
21117,40,40
21131,1,1
21145,56,55
21151,3,3
21157,1,1
21173,3,2
21179,1,1
21193,2,2
21195,1,1
21227,13,13
21233,1,1
21239,3,3
22001,4,4
22017,56,49
22019,32,32
22033,117,112
22045,3,3
22051,141,130
22055,16,16
22069,13,13
22071,155,143
22073,36,35
22079,13,13
22095,2,2
22097,13,13
22103,90,80
22105,6,6
22109,3,3
22115,1,1
22117,1,1
22119,1,1
23001,31,31
23005,17,15
23019,38,37
23027,1,1
23031,9,9
24001,1,1
24003,18,17
24005,42,38
24009,11,11
24013,1,1
24015,14,14
24021,3,3
24027,40,37
24031,193,181
24033,157,142
24035,4,4
24037,1,1
24041,3,3
24043,3,3
24045,8,8
24510,270,229
25001,2,2
25003,2,2
25005,47,46
25009,68,62
25011,1,1
25013,45,40
25015,1,1
25017,72,67
25021,11,11
25023,26,24
25025,321,289
25027,33,30
26001,1,1
26007,13,13
26017,1,1
26019,9,9
26021,7,7
26025,4,4
26041,1,1
26047,11,11
26049,106,87
26055,8,8
26065,6,6
26075,4,4
26077,78,69
26081,22,22
26087,2,2
26093,2,2
26099,15,15
26103,1,1
26111,5,5
26121,2,2
26125,212,173
26145,9,7
26147,1,1
26151,1,1
26157,2,2
26161,111,109
26163,153,129
26165,45,45
27003,1,1
27013,2,2
27019,6,6
27035,4,4
27037,17,17
27039,2,2
27047,1,1
27053,257,238
27109,65,65
27123,5,5
27137,15,15
28007,1,1
28011,2,2
28021,10,10
28033,36,36
28035,2,2
28047,44,44
28049,60,60
28053,6,6
28063,5,5
28081,14,14
28089,8,8
28107,1,1
28109,35,35
28125,19,19
29007,2,2
29019,37,35
29029,1,1
29031,1,1
29037,1,1
29043,1,1
29047,12,12
29071,10,10
29077,65,61
29091,5,5
29095,4,4
29097,2,2
29099,1,1
29127,1,1
29161,6,6
29183,1,1
29187,1,1
29189,124,119
30013,21,20
30029,24,24
30031,7,7
30035,1,1
30047,1,1
30049,1,1
30063,18,18
30111,62,59
31001,1,1
31019,2,2
31041,5,5
31053,14,14
31055,286,236
31079,9,9
31109,48,45
31111,5,5
31119,4,4
31145,2,2
31153,12,12
31157,3,3
31185,1,1
32003,544,362
32023,17,17
32031,38,35
32510,3,3
33009,12,12
33011,69,69
33013,1,1
33015,8,8
33017,8,8
34001,4,4
34003,29,24
34005,8,8
34007,104,85
34009,1,1
34011,6,6
34013,16,16
34015,7,7
34017,1,1
34019,10,10
34021,97,96
34023,36,28
34025,14,14
34027,11,11
34029,58,54
34031,11,11
34033,3,3
34035,35,29
34039,48,44
34041,3,3
35001,190,168
35013,1,1
35028,1,1
35045,2,2
35049,4,4
36001,133,125
36007,44,40
36009,2,2
36013,29,29
36019,1,1
36021,2,2
36027,9,9
36029,189,180
36047,392,317
36055,85,84
36059,182,143
36063,3,3
36065,9,9
36067,97,95
36071,39,39
36075,3,3
36077,7,7
36083,3,3
36087,3,3
36091,9,9
36093,1,1
36103,89,77
36109,1,1
36111,10,10
36113,2,2
36119,30,30
36123,1,1
37001,44,42
37005,6,6
37019,24,24
37021,79,78
37023,33,33
37025,9,8
37027,23,23
37035,68,66
37045,36,36
37047,22,22
37049,19,19
37051,23,23
37057,5,5
37063,134,130
37067,190,183
37071,3,3
37081,188,170
37089,1,1
37097,98,96
37101,6,5
37105,3,3
37107,3,3
37119,251,206
37125,11,11
37127,17,16
37129,143,143
37133,4,4
37135,100,100
37147,115,112
37151,34,34
37159,58,58
37173,1,1
37177,1,1
