stateabbr,trial_count,site_count
AK,8,9
AL,462,894
AR,246,394
AZ,528,1160
CA,1349,6381
CO,458,685
CT,289,387
DC,125,136
DE,63,69
FL,1056,5303
GA,686,1541
HI,191,219
IA,230,302
ID,301,376
IL,637,1168
IN,455,892
KS,351,475
KY,363,582
LA,440,721
MA,500,674
MD,520,780
ME,85,111
MI,472,895
MN,358,430
MO,514,884
MS,183,247
MT,183,218
NC,775,2081
ND,119,132
NE,283,404
NH,98,103
NJ,438,717
NM,173,199
NV,385,607
NY,793,1695
OH,719,1773
OK,332,487
OR,340,465
PA,651,1576
RI,113,142
SC,517,1079
SD,71,74
TN,598,1214
TX,1196,5461
UT,359,615
VA,530,1068
VT,69,75
WA,524,882
WI,221,285
WV,69,78
WY,1,1
