nct_id,stateabbr,is_industry,lead_sponsor_class,overall_status,phase,sponsor_group,status_group,phase_group
NCT00855010,TX,0,OTHER,COMPLETED,NA,NON_INDUSTRY,COMPLETED,NA
NCT04573920,CA,1,INDUSTRY,ACTIVE_NOT_RECRUITING,PHASE2,INDUSTRY,ACTIVE_NOT_RECRUITING,PHASE2
NCT04573920,CO,1,INDUSTRY,ACTIVE_NOT_RECRUITING,PHASE2,INDUSTRY,ACTIVE_NOT_RECRUITING,PHASE2
NCT04573920,LA,1,INDUSTRY,ACTIVE_NOT_RECRUITING,PHASE2,INDUSTRY,ACTIVE_NOT_RECRUITING,PHASE2
NCT04573920,MA,1,INDUSTRY,ACTIVE_NOT_RECRUITING,PHASE2,INDUSTRY,ACTIVE_NOT_RECRUITING,PHASE2
NCT04573920,MN,1,INDUSTRY,ACTIVE_NOT_RECRUITING,PHASE2,INDUSTRY,ACTIVE_NOT_RECRUITING,PHASE2
NCT04573920,NV,1,INDUSTRY,ACTIVE_NOT_RECRUITING,PHASE2,INDUSTRY,ACTIVE_NOT_RECRUITING,PHASE2
NCT04573920,NC,1,INDUSTRY,ACTIVE_NOT_RECRUITING,PHASE2,INDUSTRY,ACTIVE_NOT_RECRUITING,PHASE2
NCT04573920,TX,1,INDUSTRY,ACTIVE_NOT_RECRUITING,PHASE2,INDUSTRY,ACTIVE_NOT_RECRUITING,PHASE2
NCT04573920,WI,1,INDUSTRY,ACTIVE_NOT_RECRUITING,PHASE2,INDUSTRY,ACTIVE_NOT_RECRUITING,PHASE2
NCT03459079,FL,0,OTHER,COMPLETED,PHASE2,NON_INDUSTRY,COMPLETED,PHASE2
NCT00286494,AL,1,INDUSTRY,COMPLETED,PHASE3,INDUSTRY,COMPLETED,PHASE3
NCT00286494,AZ,1,INDUSTRY,COMPLETED,PHASE3,INDUSTRY,COMPLETED,PHASE3
NCT00286494,CA,1,INDUSTRY,COMPLETED,PHASE3,INDUSTRY,COMPLETED,PHASE3
NCT00286494,CO,1,INDUSTRY,COMPLETED,PHASE3,INDUSTRY,COMPLETED,PHASE3
NCT00286494,CT,1,INDUSTRY,COMPLETED,PHASE3,INDUSTRY,COMPLETED,PHASE3
NCT00286494,DC,1,INDUSTRY,COMPLETED,PHASE3,INDUSTRY,COMPLETED,PHASE3
NCT00286494,FL,1,INDUSTRY,COMPLETED,PHASE3,INDUSTRY,COMPLETED,PHASE3
NCT00286494,GA,1,INDUSTRY,COMPLETED,PHASE3,INDUSTRY,COMPLETED,PHASE3
NCT00286494,HI,1,INDUSTRY,COMPLETED,PHASE3,INDUSTRY,COMPLETED,PHASE3
NCT00286494,ID,1,INDUSTRY,COMPLETED,PHASE3,INDUSTRY,COMPLETED,PHASE3
NCT00286494,IL,1,INDUSTRY,COMPLETED,PHASE3,INDUSTRY,COMPLETED,PHASE3
NCT00286494,IN,1,INDUSTRY,COMPLETED,PHASE3,INDUSTRY,COMPLETED,PHASE3
NCT00286494,KY,1,INDUSTRY,COMPLETED,PHASE3,INDUSTRY,COMPLETED,PHASE3
NCT00286494,MD,1,INDUSTRY,COMPLETED,PHASE3,INDUSTRY,COMPLETED,PHASE3
NCT00286494,MA,1,INDUSTRY,COMPLETED,PHASE3,INDUSTRY,COMPLETED,PHASE3
NCT00286494,MO,1,INDUSTRY,COMPLETED,PHASE3,INDUSTRY,COMPLETED,PHASE3
NCT00286494,NE,1,INDUSTRY,COMPLETED,PHASE3,INDUSTRY,COMPLETED,PHASE3
NCT00286494,NJ,1,INDUSTRY,COMPLETED,PHASE3,INDUSTRY,COMPLETED,PHASE3
NCT00286494,NC,1,INDUSTRY,COMPLETED,PHASE3,INDUSTRY,COMPLETED,PHASE3
NCT00286494,OH,1,INDUSTRY,COMPLETED,PHASE3,INDUSTRY,COMPLETED,PHASE3
NCT00286494,OK,1,INDUSTRY,COMPLETED,PHASE3,INDUSTRY,COMPLETED,PHASE3
NCT00286494,OR,1,INDUSTRY,COMPLETED,PHASE3,INDUSTRY,COMPLETED,PHASE3
NCT00286494,PA,1,INDUSTRY,COMPLETED,PHASE3,INDUSTRY,COMPLETED,PHASE3
NCT00286494,SC,1,INDUSTRY,COMPLETED,PHASE3,INDUSTRY,COMPLETED,PHASE3
NCT00286494,TN,1,INDUSTRY,COMPLETED,PHASE3,INDUSTRY,COMPLETED,PHASE3
NCT00286494,TX,1,INDUSTRY,COMPLETED,PHASE3,INDUSTRY,COMPLETED,PHASE3
NCT00286494,VT,1,INDUSTRY,COMPLETED,PHASE3,INDUSTRY,COMPLETED,PHASE3
NCT06374186,MO,0,OTHER,COMPLETED,NA,NON_INDUSTRY,COMPLETED,NA
NCT00256646,AZ,0,FED,COMPLETED,,NON_INDUSTRY,COMPLETED,UNKNOWN
NCT00256646,CA,0,FED,COMPLETED,,NON_INDUSTRY,COMPLETED,UNKNOWN
NCT00256646,FL,0,FED,COMPLETED,,NON_INDUSTRY,COMPLETED,UNKNOWN
NCT00256646,IL,0,FED,COMPLETED,,NON_INDUSTRY,COMPLETED,UNKNOWN
NCT00256646,IN,0,FED,COMPLETED,,NON_INDUSTRY,COMPLETED,UNKNOWN
NCT00256646,KY,0,FED,COMPLETED,,NON_INDUSTRY,COMPLETED,UNKNOWN
NCT00256646,MN,0,FED,COMPLETED,,NON_INDUSTRY,COMPLETED,UNKNOWN
NCT00256646,NE,0,FED,COMPLETED,,NON_INDUSTRY,COMPLETED,UNKNOWN
NCT00256646,NJ,0,FED,COMPLETED,,NON_INDUSTRY,COMPLETED,UNKNOWN
NCT00256646,PA,0,FED,COMPLETED,,NON_INDUSTRY,COMPLETED,UNKNOWN
NCT00256646,TX,0,FED,COMPLETED,,NON_INDUSTRY,COMPLETED,UNKNOWN
NCT00256646,VA,0,FED,COMPLETED,,NON_INDUSTRY,COMPLETED,UNKNOWN
NCT01095822,MD,0,OTHER,UNKNOWN,PHASE4,NON_INDUSTRY,UNKNOWN,PHASE4
NCT02589873,CA,0,OTHER,COMPLETED,NA,NON_INDUSTRY,COMPLETED,NA
NCT00357370,AR,1,INDUSTRY,COMPLETED,"PHASE2, PHASE3",INDUSTRY,COMPLETED,PHASE2
NCT00357370,CA,1,INDUSTRY,COMPLETED,"PHASE2, PHASE3",INDUSTRY,COMPLETED,PHASE2
NCT00357370,FL,1,INDUSTRY,COMPLETED,"PHASE2, PHASE3",INDUSTRY,COMPLETED,PHASE2
NCT00357370,GA,1,INDUSTRY,COMPLETED,"PHASE2, PHASE3",INDUSTRY,COMPLETED,PHASE2
