county_fips,endo_count
01003,3
01017,2
01019,2
01029,1
01045,1
01051,1
01061,2
01073,49
01077,2
01089,7
01097,15
01101,13
01103,2
01113,2
01117,1
01125,3
02020,6
02063,1
02090,1
02170,4
04005,2
04013,144
04019,44
04021,2
04025,5
04027,6
05007,3
05031,2
05045,3
05059,2
05069,1
05089,1
05119,38
05131,12
05143,4
06001,56
06007,5
06013,40
06017,1
06019,6
06029,14
06031,2
06037,457
06039,19
06041,18
06047,2
06053,11
06055,4
06057,3
06059,133
06061,15
06065,41
06067,69
06071,29
06073,133
06075,67
06077,14
06079,7
06081,26
06083,16
06085,116
06087,11
06089,4
06093,1
06095,18
06097,15
06099,14
06101,3
06107,3
06109,4
06111,28
06113,4
06115,1
08001,59
08005,6
08013,12
08014,3
08031,26
08035,1
08037,1
08041,13
08059,12
08069,11
08077,5
08101,10
08107,2
08117,1
08123,3
09001,81
09003,46
09005,1
09007,7
09009,73
09011,13
09013,4
10001,10
10003,17
10005,14
11001,79
12001,32
12005,5
12009,17
12011,67
12015,7
12017,1
12019,2
12021,15
12031,50
12033,7
12035,3
12053,3
12057,66
12061,3
12069,5
12071,21
12073,7
12081,4
12083,9
12085,6
12086,179
12087,1
12091,1
12095,60
12097,13
12099,60
12101,18
12103,34
12105,9
12109,27
12111,3
12113,2
12115,25
12117,8
12119,4
12127,12
12131,2
13001,1
13015,5
13021,4
13045,2
13047,2
13051,8
13055,1
13057,6
13059,5
13063,8
13067,16
13073,9
13077,11
13085,1
13089,28
13095,4
13097,7
13113,1
13115,3
13117,14
13121,74
13127,4
13135,11
13139,17
13153,1
13157,1
13159,4
13171,1
13185,2
13201,2
13207,7
13215,7
13245,23
13247,4
13285,1
13299,1
13313,4
15003,27
15009,3
16001,16
16011,3
16013,1
16019,3
16055,3
16083,1
17001,5
17007,8
17019,10
17031,323
17037,3
17043,35
17077,2
17083,2
17089,9
17091,6
17093,4
17097,18
17111,8
17113,5
17119,4
17139,1
17143,6
17161,9
17163,1
17167,30
17173,3
17183,1
