stateabbr,trial_count,site_count,year,diabetes_prevalence,diabetes_low_ci,diabetes_high_ci,places_access2,places_bphigh,places_depression,places_diabetes,places_foodinsecu,places_foodstamp,places_ghlth,places_housinsecu,places_lacktrpt,places_loneliness,places_lpa,places_mhlth,places_obesity,population,poverty_rate,median_income,gini,pct_black,pct_hispanic,pct_no_vehicle,pct_no_internet,unemployment_rate,uninsured_pct,pct_bachelors_plus,pct_rural,medicaid_expanded,trials_per_100k,industry_trial_count,non_industry_trial_count,industry_trials_per_100k,non_industry_trials_per_100k,industry_pct,burden_decile,expected_trials_per_100k,coverage_residual,coverage_residual_z,coverage_quartile
AK,8,9,2023.0,8.991942806852137,7.764061057646636,10.300674136358015,10.110819521096111,31.56013471972525,20.77844484395921,8.991942806852137,14.36250486199115,10.183473531947538,18.442494967727132,12.533191850137749,9.1433083766058,33.53661594661399,21.625233420386127,16.306691892260073,35.33643347631023,734821,10.487625001219865,86370,0.4304,3.183768564044849,7.4698463979663074,9.133582473446909,8.270796138832571,4.01308018494838,11.7,30.7,57.50793233077581,1,1.0887005134583796,7,1,0.9526129492760822,0.13608756418229745,87.5,3.0,8.749234107370835,-7.660533593912456,-2.203400887113578,Q1_low
AL,462,894,2023.0,12.746376131704624,11.045435546008827,14.581370630938844,10.320866757776242,39.61436675325094,24.086466331190348,12.746376131704624,20.033456698313664,14.774885006843274,21.84038022157929,15.144880491589461,10.30575684805115,36.271619869932536,27.764432068559454,18.176227062963154,39.62891451890423,5028092,15.722492125943194,59609,0.4797,26.37861439289496,4.62217079560199,5.568165946770814,13.236789695574581,2.9661835796544964,9.5,27.2,63.120519381984955,0,9.18837602812359,421,41,8.372957376277125,0.8154186518464658,91.12554112554112,10.0,6.558610441132117,2.629765586991473,0.756400028306434,Q4_high
AR,246,394,2023.0,11.515779061556465,9.916927096121965,13.193899219515995,11.719782958049622,37.96652174060295,25.33270065415702,11.515779061556465,19.317216327339292,12.23339079574146,23.427491782819192,15.56370241359048,10.23623548128718,35.05434837459846,31.12723468369993,19.508439946421102,39.557744894002184,3018669,16.228857632436906,56335,0.4821,15.128952528415669,8.060539264159138,6.015905176607545,14.270705491365494,2.9803176907688864,8.8,24.7,68.5217849832842,1,8.149286987079405,222,24,7.354234598096048,0.7950523889833566,90.2439024390244,9.0,8.319744916528917,-0.17045792944951188,-0.04902885006118417,Q3
AZ,528,1160,2023.0,9.85332301126308,8.733816675244643,11.041057091706836,13.549793119721768,29.337929111144927,20.08600903508877,9.85332301126308,16.715853725264218,11.79722923374445,18.73604904664766,13.112944354864911,9.19231735321828,32.659043073982055,21.237022011487078,16.165820108715167,31.715869917976303,7172282,13.065050808119267,72581,0.461,4.5602919684418435,32.033221783527196,5.4869491693731165,8.315979929437603,3.22769848191066,10.8,31.8,53.36706890384705,1,7.361673732293292,472,56,6.580890154625822,0.7807835776674704,89.39393939393939,5.0,7.037725759839368,0.32394797245392404,0.09317722337917056,Q3
CA,1349,6381,2023.0,10.707798483357736,9.39861541746195,12.125747269190699,10.747164107146624,28.46041676141476,20.441596795546353,10.707798483357736,18.33494241587778,15.916730739312975,21.643394969069636,15.619200555028314,9.507103560986074,37.8257203913141,24.177213668207933,16.89188126263044,27.85701696396051,39356104,12.124320246167636,91905,0.4895,5.596557525104619,39.68362823718527,6.928111535284867,6.428750699731492,4.056897027143527,7.1,35.9,34.6869079068121,1,3.427676682630984,1090,259,2.769583086781151,0.6580935958498331,80.80059303187547,7.0,7.601857910310011,-4.174181227679027,-1.2006206235228367,Q1_low
CO,458,685,2023.0,8.0165704109394,6.880899889897459,9.27032805152816,11.186209560263231,25.614063916090455,22.882415998023557,8.0165704109394,,,15.212720725141253,,,,17.447444887609194,16.39654658898726,26.06240986882485,5770790,9.553819024642115,87598,0.456,4.049913443393366,22.07257585183311,4.992792061961929,5.82929917069205,3.069115690493812,7.8,43.7,65.13420997299139,1,7.936521689404744,370,88,6.411600491440513,1.52492119796423,80.78602620087337,1.0,12.23168180598543,-4.295160116580686,-1.2354178067555766,Q1_low
CT,289,387,2023.0,8.642542196607685,7.815714621362107,9.49167293785135,10.525918858126108,28.3389132019667,21.30057342468877,8.642542196607685,15.695919652821686,12.386277507696454,15.637789606072857,13.627302699546334,8.785772219515652,34.01070282186035,24.096786285627413,16.74859466724714,30.738517581775906,3611317,10.140715932971126,90213,0.4992,10.672200751138712,17.37338483439698,8.546488987499707,7.613169745929762,3.8848674535901004,5.2,41.4,63.20763716796489,1,8.0026206505826,241,48,6.673465663634624,1.3291549869479748,83.39100346020761,2.0,6.896216609471667,1.1064040411109328,0.31823522680288846,Q3
DC,125,136,2023.0,8.5,7.3,9.7,6.2,30.3,21.0,8.5,13.8,12.8,13.5,12.0,7.8,36.2,15.3,13.7,25.1,670587,15.101881746931532,101722,0.5171,44.30461670148691,11.507529970011348,35.708472536694266,8.239150054625775,5.076322647504135,3.4,62.6,37.9628595668158,1,18.640385214744693,88,37,13.122831191180264,5.517554023564429,70.4,1.0,12.23168180598543,6.408703408759264,1.8433367079454315,Q4_high
DE,63,69,2023.0,10.766372177883582,9.357008215115032,12.146525650281967,9.484219564072044,32.98333707338966,22.060249868284973,10.766372177883582,14.931626729369523,12.446468573770172,17.646705660819173,13.029446601752298,8.311012839775987,33.12556052061584,25.962077780162744,16.78256971139774,35.491410228891446,993635,11.122978097670458,79325,0.4508,21.96641623936355,9.93282241466937,6.091516709511568,7.451156812339332,3.3669556385259107,6.0,34.5,58.57388468889275,1,6.340356368284128,60,3,6.038434636461075,0.30192173182305376,95.23809523809524,7.0,7.601857910310011,-1.2615015420258828,-0.3628459535774136,Q2
FL,1056,5303,2023.0,11.100460227857745,9.624471550365957,12.677895228400534,16.547307807735244,31.416283878508704,17.96505343451738,11.100460227857745,,,19.055238582716083,,,,24.908703692722543,17.26801602621366,32.174948588534555,21634529,12.873944935928622,67917,0.4858,15.510890022149315,26.52372510628727,5.958047707525558,8.162624240717088,2.9725508377637846,12.3,32.3,51.538706577299195,0,4.881086156301346,955,101,4.414239847791463,0.4668463085098825,90.43560606060606,8.0,6.405747060734723,-1.524660904433377,-0.4385385362770963,Q2
GA,686,1541,2023.0,12.127335709623386,10.497505755224694,13.894690294357984,13.445364844616588,35.34016562656866,19.260814675522635,12.127335709623386,18.134732348190564,14.55524397370911,19.79005279519126,15.679731067943099,9.803876382037151,37.87149935940515,26.107463618947474,17.43281089343371,35.22309360316757,10722325,13.530059460373929,71355,0.4787,31.466570916289143,10.058051775151378,6.0006740166578405,9.600379071022605,3.300153183475281,12.9,33.6,50.0578981820979,0,6.397866134443789,607,79,5.661085632080729,0.7367805023630603,88.48396501457727,9.0,8.319744916528917,-1.9218787820851277,-0.5527903978825012,Q1_low
HI,191,219,2023.0,10.206108407612621,9.011167341932941,11.503112678215546,5.777375002737565,27.120766693677318,16.9544176430652,10.206108407612621,18.357149252096978,12.978010731258623,17.404701430104463,12.200491623048116,8.112647204397627,33.26575633472767,21.629658132760998,15.856396574757452,26.14309489498697,1450589,9.609609821890578,94814,0.4466,1.9760938487745323,10.962650344101602,8.088761040367345,7.6649183932416625,3.0515638064292463,3.9,34.7,21.601818492913004,1,13.167065240395454,175,16,12.06406501083353,1.1030002295619228,91.62303664921465,6.0,8.621584079408338,4.545481160987116,1.3074177013512518,Q4_high
IA,230,302,2023.0,9.694684567129158,8.323140706743398,11.190115354708055,7.628868391792583,30.47960213688016,21.4606944133794,9.694684567129158,12.682610556336554,10.586636464716527,16.987972095562082,10.36578847922509,7.186756736897437,33.06668347543404,23.896271118285004,17.310374131670383,38.18513481869544,3188836,11.108485305433897,70571,0.4431,3.782540086727571,6.542732206987126,5.610170687034498,10.01519991256756,2.54232392653177,4.8,30.3,82.6926603160951,1,7.212663178664566,218,12,6.836350317169024,0.37631286149554255,94.78260869565217,5.0,7.037725759839368,0.17493741882519753,0.05031728653146414,Q3
