stateabbr,diabetes_prev_ci,trial_count,site_count,trials_per_100k,expected_trials_per_100k,coverage_residual,industry_pct,coverage_flag
WY,"9.30 (7.95, 10.78)",1,1,0.1730316353738954,8.749234107370835,-8.57620247199694,0.0,Top 10 under-covered
AK,"8.99 (7.76, 10.30)",8,9,1.0887005134583796,8.749234107370835,-7.660533593912456,87.5,Top 10 under-covered
NH,"7.61 (6.53, 8.79)",98,103,7.103456774015845,12.213364103757996,-5.109907329742152,96.93877551020408,Top 10 under-covered
WI,"9.64 (8.35, 11.05)",221,285,3.7571436731740624,8.258852998212765,-4.501709325038703,88.23529411764706,Top 10 under-covered
CO,"8.02 (6.88, 9.27)",458,685,7.936521689404744,12.213364103757996,-4.276842414353252,80.78602620087337,Top 10 under-covered
CA,"10.71 (9.40, 12.13)",1346,6378,3.4200539768875498,7.59002130032261,-4.16996732343506,80.75780089153047,Top 10 under-covered
IL,"10.21 (8.84, 11.70)",636,1167,4.985250399878222,8.615562348514965,-3.6303119486367432,85.84905660377359,Top 10 under-covered
NJ,"9.40 (8.18, 10.76)",437,716,4.7248029340918105,8.258852998212765,-3.5340500641209545,94.05034324942791,Top 10 under-covered
NY,"9.93 (8.69, 11.28)",790,1692,3.951110459594669,7.03193640367495,-3.0808259440802814,77.72151898734177,Top 10 under-covered
WV,"12.86 (11.03, 14.81)",69,78,3.8483697692149383,6.5579265247726255,-2.709556755557687,86.95652173913044,Top 10 under-covered
TX,"12.27 (10.69, 13.96)",1195,5459,4.086400247960715,6.5579265247726255,-2.47152627681191,84.93723849372385,
MI,"10.10 (8.77, 11.53)",472,895,4.6928187246648685,7.03193640367495,-2.339117679010082,86.01694915254237,
GA,"12.13 (10.50, 13.89)",686,1541,6.397866134443789,8.319744916528917,-1.9218787820851277,88.48396501457727,
FL,"11.10 (9.62, 12.68)",1055,5299,4.87646391562303,6.400805081015617,-1.5243411653925873,90.42654028436019,
VT,"7.01 (5.96, 8.19)",69,75,10.717347813661046,12.213364103757996,-1.49601629009695,91.30434782608695,
DE,"10.77 (9.36, 12.15)",63,69,6.340356368284128,7.59002130032261,-1.2496649320384812,95.23809523809524,
ME,"8.77 (7.57, 10.02)",85,111,6.2182276002981824,6.896216609471667,-0.6779890091734844,94.11764705882354,
SD,"10.11 (8.67, 11.68)",71,74,7.97446374539222,8.615562348514965,-0.641098603122745,90.14084507042253,
MN,"8.72 (7.55, 10.01)",358,430,6.285893682009632,6.896216609471667,-0.6103229274620352,67.0391061452514,
MS,"13.56 (11.71, 15.56)",183,247,6.1848436856801605,6.5579265247726255,-0.373082839092465,96.17486338797814,
OH,"11.32 (9.84, 12.93)",718,1772,6.097828705876838,6.400805081015617,-0.30297637513877973,88.02228412256268,
MO,"10.41 (8.96, 11.97)",513,883,8.335470008393964,8.615562348514965,-0.28009234012100137,87.5243664717349,
VA,"11.02 (9.48, 12.63)",529,1066,6.133681086382753,6.400805081015617,-0.26712399463286474,90.17013232514178,
OR,"9.59 (8.25, 11.03)",340,465,8.039014757266678,8.258852998212765,-0.21983824094608728,90.88235294117646,
NC,"10.53 (9.01, 12.17)",773,2077,7.382848144269066,7.59002130032261,-0.20717315605354347,86.80465717981889,
