stateabbr,phase_group,trial_count,population,trials_per_100k
AK,NA,1,734821,0.13608756418229745
AK,PHASE3,6,734821,0.8165253850937847
AK,PHASE4,1,734821,0.13608756418229745
AL,NA,34,5028092,0.6762008332385326
AL,PHASE1,12,5028092,0.23865911761359976
AL,PHASE2,96,5028092,1.909272940908798
AL,PHASE3,275,5028092,5.469271445311661
AL,PHASE4,34,5028092,0.6762008332385326
AL,UNKNOWN,11,5028092,0.21877085781246644
AR,NA,18,3018669,0.5962892917375174
AR,PHASE1,5,3018669,0.1656359143715326
AR,PHASE2,51,3018669,1.6894863265896327
AR,PHASE3,139,3018669,4.604678419528607
AR,PHASE4,23,3018669,0.76192520610905
AR,UNKNOWN,10,3018669,0.3312718287430652
AZ,NA,27,7172282,0.3764492249468161
AZ,PHASE1,20,7172282,0.2788512777383823
AZ,PHASE2,120,7172282,1.6731076664302937
AZ,PHASE3,292,7172282,4.071228654980382
AZ,PHASE4,42,7172282,0.5855876832506028
AZ,UNKNOWN,26,7172282,0.362506661059897
CA,EARLY_PHASE1,5,39356104,0.012704509572390601
CA,NA,251,39356104,0.6377663805340081
CA,PHASE1,145,39356104,0.3684307775993274
CA,PHASE2,312,39356104,0.7927613973171734
CA,PHASE3,486,39356104,1.2348783304363664
CA,PHASE4,87,39356104,0.22105846655959646
CA,UNKNOWN,61,39356104,0.15499501678316532
CO,EARLY_PHASE1,1,5770790,0.017328649976866253
CO,NA,77,5770790,1.3343060482187015
CO,PHASE1,9,5770790,0.15595784979179628
CO,PHASE2,86,5770790,1.4902638980104976
CO,PHASE3,221,5770790,3.8296316448874417
CO,PHASE4,39,5770790,0.6758173490977838
CO,UNKNOWN,25,5770790,0.4332162494216563
CT,NA,30,3611317,0.8307218668424843
CT,PHASE1,14,3611317,0.3876702045264927
CT,PHASE2,51,3611317,1.4122271736322234
CT,PHASE3,155,3611317,4.292062978686169
CT,PHASE4,22,3611317,0.6091960356844885
CT,UNKNOWN,17,3611317,0.47074239121074113
DC,NA,21,670587,3.1315847160771084
DC,PHASE1,3,670587,0.44736924515387266
DC,PHASE2,18,670587,2.684215470923236
DC,PHASE3,57,670587,8.50001565792358
DC,PHASE4,15,670587,2.236846225769363
DC,UNKNOWN,11,670587,1.640353898897533
DE,NA,2,993635,0.2012811545487025
DE,PHASE1,1,993635,0.10064057727435125
DE,PHASE2,12,993635,1.207686927292215
DE,PHASE3,34,993635,3.4217796273279424
DE,PHASE4,4,993635,0.402562309097405
DE,UNKNOWN,10,993635,1.0064057727435125
FL,EARLY_PHASE1,1,21634529,0.004622240678315668
FL,NA,68,21634529,0.3143123661254655
FL,PHASE1,136,21634529,0.628624732250931
FL,PHASE2,278,21634529,1.284982908571756
FL,PHASE3,460,21634529,2.1262307120252073
FL,PHASE4,75,21634529,0.34666805087367514
FL,UNKNOWN,37,21634529,0.17102290509767973
GA,NA,78,10722325,0.7274541668901101
GA,PHASE1,11,10722325,0.10258969020245143
GA,PHASE2,152,10722325,1.4176029918884197
GA,PHASE3,363,10722325,3.385459776680897
GA,PHASE4,65,10722325,0.6062118057417585
GA,UNKNOWN,17,10722325,0.1585477030401522
HI,NA,12,1450589,0.827250172171442
HI,PHASE1,4,1450589,0.2757500573904807
HI,PHASE2,39,1450589,2.6885630595571866
