stateabbr,status_group,trial_count,population,trials_per_100k
AK,COMPLETED,8,734821,1.0887005134583796
AL,ACTIVE_NOT_RECRUITING,23,5028092,0.45742997542606617
AL,COMPLETED,365,5028092,7.259214827413659
AL,ENROLLING_BY_INVITATION,2,5028092,0.03977651960226662
AL,NOT_YET_RECRUITING,3,5028092,0.05966477940339994
AL,NO_LONGER_AVAILABLE,1,5028092,0.01988825980113331
AL,RECRUITING,14,5028092,0.2784356372158664
AL,TERMINATED,49,5028092,0.9745247302555323
AL,UNKNOWN,2,5028092,0.03977651960226662
AL,WITHDRAWN,3,5028092,0.05966477940339994
AR,ACTIVE_NOT_RECRUITING,10,3018669,0.3312718287430652
AR,COMPLETED,202,3018669,6.691690940609917
AR,ENROLLING_BY_INVITATION,1,3018669,0.03312718287430652
AR,NOT_YET_RECRUITING,3,3018669,0.09938154862291958
AR,RECRUITING,6,3018669,0.19876309724583915
AR,TERMINATED,21,3018669,0.695670840360437
AR,UNKNOWN,2,3018669,0.06625436574861304
AR,WITHDRAWN,1,3018669,0.03312718287430652
AZ,ACTIVE_NOT_RECRUITING,20,7172282,0.2788512777383823
AZ,COMPLETED,406,7172282,5.66068093808916
AZ,ENROLLING_BY_INVITATION,2,7172282,0.02788512777383823
AZ,NOT_YET_RECRUITING,2,7172282,0.02788512777383823
AZ,RECRUITING,24,7172282,0.33462153328605876
AZ,SUSPENDED,5,7172282,0.06971281943459558
AZ,TERMINATED,62,7172282,0.8644389609889851
AZ,UNKNOWN,3,7172282,0.041827691660757345
AZ,WITHDRAWN,3,7172282,0.041827691660757345
CA,ACTIVE_NOT_RECRUITING,49,39356104,0.12450419380942788
CA,COMPLETED,1032,39356104,2.62221077574142
CA,ENROLLING_BY_INVITATION,6,39356104,0.015245411486868721
CA,NOT_YET_RECRUITING,13,39356104,0.03303172488821556
CA,RECRUITING,77,39356104,0.19564944741481524
CA,SUSPENDED,2,39356104,0.00508180382895624
CA,TERMINATED,122,39356104,0.30999003356633065
CA,UNKNOWN,23,39356104,0.05844074403299676
CA,WITHDRAWN,23,39356104,0.05844074403299676
CO,ACTIVE_NOT_RECRUITING,18,5770790,0.31191569958359255
CO,COMPLETED,368,5770790,6.376943191486781
CO,ENROLLING_BY_INVITATION,3,5770790,0.051985949930598754
CO,NOT_YET_RECRUITING,3,5770790,0.051985949930598754
CO,RECRUITING,23,5770790,0.3985589494679238
CO,TERMINATED,34,5770790,0.5891740992134525
CO,UNKNOWN,5,5770790,0.08664324988433127
CO,WITHDRAWN,4,5770790,0.06931459990746501
CT,ACTIVE_NOT_RECRUITING,16,3611317,0.44305166231599163
CT,COMPLETED,226,3611317,6.258104730213382
CT,NOT_YET_RECRUITING,2,3611317,0.055381457789498954
CT,RECRUITING,14,3611317,0.3876702045264927
CT,SUSPENDED,1,3611317,0.027690728894749477
CT,TERMINATED,27,3611317,0.7476496801582359
CT,WITHDRAWN,3,3611317,0.08307218668424843
DC,ACTIVE_NOT_RECRUITING,3,670587,0.44736924515387266
DC,COMPLETED,96,670587,14.315815844923925
DC,ENROLLING_BY_INVITATION,1,670587,0.14912308171795755
DC,RECRUITING,7,670587,1.043861572025703
DC,SUSPENDED,1,670587,0.14912308171795755
DC,TERMINATED,12,670587,1.7894769806154907
DC,UNKNOWN,3,670587,0.44736924515387266
DC,WITHDRAWN,2,670587,0.2982461634359151
DE,COMPLETED,54,993635,5.434591172814967
DE,RECRUITING,2,993635,0.2012811545487025
DE,TERMINATED,5,993635,0.5032028863717563
DE,UNKNOWN,1,993635,0.10064057727435125
DE,WITHDRAWN,1,993635,0.10064057727435125
FL,ACTIVE_NOT_RECRUITING,35,21634529,0.1617784237410484
FL,COMPLETED,852,21634529,3.9381490579249494
FL,ENROLLING_BY_INVITATION,1,21634529,0.004622240678315668
FL,NOT_YET_RECRUITING,8,21634529,0.036977925426525345
FL,NO_LONGER_AVAILABLE,1,21634529,0.004622240678315668
FL,RECRUITING,48,21634529,0.22186755255915208
FL,SUSPENDED,3,21634529,0.013866722034947005
FL,TERMINATED,92,21634529,0.4252461424050415
FL,UNKNOWN,5,21634529,0.023111203391578343
FL,WITHDRAWN,10,21634529,0.046222406783156686
GA,ACTIVE_NOT_RECRUITING,29,10722325,0.27046372871555374
GA,COMPLETED,542,10722325,5.05487382633897
GA,NOT_YET_RECRUITING,6,10722325,0.05595801283770078
GA,RECRUITING,27,10722325,0.2518110577696535
GA,SUSPENDED,2,10722325,0.01865267094590026
GA,TERMINATED,66,10722325,0.6155381412147085
GA,UNKNOWN,8,10722325,0.07461068378360104
GA,WITHDRAWN,6,10722325,0.05595801283770078
HI,ACTIVE_NOT_RECRUITING,10,1450589,0.6893751434762018
HI,COMPLETED,147,1450589,10.133814609100165
HI,ENROLLING_BY_INVITATION,1,1450589,0.06893751434762017
HI,NOT_YET_RECRUITING,2,1450589,0.13787502869524035
HI,RECRUITING,8,1450589,0.5515001147809614
HI,TERMINATED,21,1450589,1.4476878013000236
