term,mean_tfidf
diabetes,0.08080521914946756
type,0.07005242902891091
study,0.05499755441194838
patients,0.04413154073389226
insulin,0.04299781743526406
randomized,0.04110893528607868
controlled,0.03965996557752084
mellitus,0.039517453846325504
safety,0.038803915582183116
subjects,0.0341988706376763
placebo,0.03392945230101073
double,0.03187811903922349
efficacy,0.03180511607332569
blind,0.03162096914945976
trial,0.02911430595547539
phase,0.028597665803590883
glucose,0.026291882519413647
effect,0.02454711867793395
control,0.02395803811136042
metformin,0.023786463062803406
evaluate,0.023755454217576442
effects,0.02127446784635146
glycemic,0.020177251703470008
treatment,0.020160093628891384
dose,0.020126447811344043
diabetic,0.01942664670868147
therapy,0.019173652824500478
parallel,0.018911434002037104
management,0.018625207106448213
health,0.018256086046603892
